loan_id,customer_id,loan_amount,interest_rate,term_months,start_date,status
1,5680,7650000,4.85,12,2024-11-04,정상
2,4805,1970000,5.53,12,2024-06-08,정상
3,4383,730000,6.42,24,2023-12-28,연체
4,4479,730000,5.64,24,2023-09-11,연체
5,6175,50830000,4.58,24,2024-03-12,완료
6,3772,108250000,5.46,36,2023-03-03,정상
7,7024,4460000,5.48,12,2024-06-04,정상
8,6301,1950000,4.65,6,2024-07-15,정상
9,7528,1110000,4.92,6,2024-07-31,완료
10,3459,1890000,4.75,24,2023-05-09,연체
11,4712,15660000,4.59,36,2024-09-11,정상
12,8839,730000,4.86,6,2023-01-07,정상
13,9838,5390000,5.57,12,2024-08-30,정상
14,8606,6020000,3.99,12,2023-01-08,완료
15,6600,2160000,4.99,24,2023-03-23,정상
16,5367,2250000,4.74,12,2023-05-02,연체
17,6242,7150000,5.02,24,2023-08-22,정상
18,7465,4510000,5.26,24,2024-04-17,정상
19,7602,5500000,4.64,12,2024-08-08,정상
20,5674,1480000,4.81,24,2024-11-21,완료
21,7727,730000,5.87,6,2024-06-03,연체
22,2635,730000,5.62,12,2023-02-25,정상
23,6388,2060000,4.97,12,2023-12-18,완료
24,1409,730000,5.86,12,2024-06-25,연체
25,6695,730000,6.33,6,2023-04-04,연체
26,860,1430000,5.58,12,2024-09-23,연체
27,859,730000,5.56,6,2023-01-23,정상
28,7084,1630000,5.0,6,2024-10-14,정상
29,381,15960000,4.79,36,2023-12-29,정상
30,9294,14570000,4.92,36,2023-07-23,연체
31,7758,2140000,4.91,24,2023-02-03,정상
32,86,730000,5.57,12,2024-12-30,정상
33,738,1060000,5.56,6,2023-04-12,정상
34,1962,47360000,4.82,36,2024-10-06,정상
35,7834,18810000,4.94,24,2024-11-19,정상
36,6443,730000,5.8,24,2023-03-27,연체
37,6007,1620000,5.16,24,2023-07-06,연체
38,202,26860000,5.04,24,2024-04-25,정상
39,3871,1780000,4.91,6,2024-03-04,정상
40,2627,13690000,5.7,36,2024-02-27,정상
41,7563,1460000,5.97,24,2024-04-30,완료
42,2755,1640000,5.02,6,2024-11-18,정상
43,9471,1600000,5.09,24,2024-05-24,완료
44,1993,730000,5.61,6,2024-08-20,완료
45,9298,2100000,4.98,6,2024-07-28,정상
46,7314,980000,5.53,12,2023-01-28,정상
47,4680,2260000,5.18,6,2023-05-24,연체
48,1381,3890000,4.77,36,2023-02-23,정상
49,4230,8940000,4.99,24,2024-08-02,정상
50,4391,4540000,4.65,24,2023-07-22,완료
51,6668,104250000,6.46,60,2024-09-17,정상
52,8264,730000,4.95,12,2023-02-24,정상
53,137,18830000,4.56,24,2024-12-10,정상
54,2986,3450000,4.85,12,2023-03-20,정상
