session_id,customer_id,login_time,channel,duration_minutes
1,3172,2024-05-13 22:44:00,atm,13
2,9022,2024-06-17 17:25:00,web,53
3,8051,2024-03-11 02:15:00,app,9
4,6418,2024-09-12 18:10:00,atm,28
5,3790,2024-09-24 02:56:00,web,33
6,6211,2024-09-16 02:25:00,web,33
7,5216,2024-06-30 20:53:00,app,15
8,4886,2024-05-05 13:10:00,web,54
9,9840,2024-08-21 07:14:00,atm,10
10,3611,2024-04-23 07:09:00,app,19
11,5672,2024-11-07 05:47:00,app,4
12,7090,2024-11-29 19:18:00,web,24
13,6556,2024-04-20 10:34:00,app,25
14,8639,2024-06-11 13:14:00,app,8
15,4933,2024-06-08 07:09:00,web,57
16,4695,2024-01-28 17:58:00,web,2
17,6330,2024-12-18 06:30:00,web,11
18,6873,2024-11-26 22:22:00,app,2
19,3093,2024-12-04 03:55:00,web,7
20,9805,2024-09-20 11:56:00,app,9
21,6540,2024-10-22 07:20:00,web,25
22,3515,2024-07-14 14:44:00,app,3
23,738,2024-03-30 08:52:00,web,13
24,8402,2024-08-11 11:00:00,app,2
25,6483,2024-08-14 16:15:00,app,44
26,4661,2024-04-19 18:16:00,atm,10
27,834,2024-03-30 15:43:00,web,35
28,4494,2024-06-06 04:10:00,app,12
29,3201,2024-03-20 11:12:00,app,10
30,7346,2023-12-31 03:50:00,app,6
31,6546,2024-10-15 08:36:00,web,4
32,7163,2024-09-03 12:07:00,web,48
33,7200,2024-05-23 04:51:00,web,6
34,515,2024-01-15 00:38:00,app,24
35,5453,2024-01-17 20:49:00,app,28
36,2991,2024-10-28 02:43:00,app,4
37,7633,2024-09-09 01:39:00,web,29
38,4903,2024-01-20 02:22:00,web,47
39,8107,2024-01-14 12:10:00,app,1
40,986,2024-03-18 23:59:00,app,6
41,6643,2024-03-12 23:14:00,app,1
42,3028,2024-09-22 05:00:00,app,14
43,1517,2024-12-11 12:09:00,app,9
44,7287,2024-07-06 20:57:00,web,13
45,3487,2024-09-24 08:14:00,app,51
46,6828,2024-06-10 00:41:00,app,29
47,8902,2024-02-22 04:39:00,app,52
48,1949,2024-05-30 04:40:00,app,27
49,1526,2024-06-09 12:48:00,app,14
50,2357,2024-12-22 09:05:00,app,23
51,300,2024-03-04 12:41:00,app,20
52,7560,2024-11-21 09:51:00,web,35
53,8455,2024-03-04 16:09:00,app,22
54,6556,2024-12-03 20:42:00,app,12
55,9168,2024-02-19 20:42:00,atm,22
56,1114,2024-06-03 13:47:00,app,18
57,1481,2024-10-12 02:16:00,app,7
58,4929,2024-07-30 06:32:00,app,6
59,1812,2024-04-20 09:49:00,app,41
60,7157,2024-01-25 00:31:00,atm,19
61,8636,2024-09-23 20:33:00,app,7
62,6491,2024-06-19 17:40:00,web,18
63,6786,2024-06-21 19:41:00,web,25
64,5662,2024-10-20 20:05:00,app,28
65,6586,2024-01-15 01:19:00,app,19
66,1145,2024-05-18 10:07:00,app,23
67,8380,2024-02-21 08:15:00,app,21
68,6537,2024-08-01 21:25:00,web,12
69,3357,2024-01-07 19:20:00,web,30
70,6075,2024-05-30 13:03:00,app,22
71,5630,2024-10-19 05:32:00,app,17
72,391,2024-12-01 22:56:00,app,22
73,8098,2024-10-20 13:49:00,web,53
74,9882,2024-01-30 14:01:00,web,26
75,8810,2024-03-21 21:40:00,web,3
76,5701,2024-08-23 04:28:00,web,8
77,9977,2024-12-11 09:23:00,app,4
78,1608,2024-12-21 14:45:00,web,21
79,4479,2024-02-20 19:15:00,app,12
80,523,2024-07-20 13:01:00,app,24
81,108,2024-04-01 08:15:00,atm,49
82,7788,2024-03-01 13:06:00,atm,4
83,7936,2024-10-18 11:28:00,app,25
84,8767,2024-06-05 08:07:00,web,7
85,9041,2024-11-10 11:18:00,app,15
86,736,2024-12-20 19:09:00,web,47
87,2546,2024-01-11 21:01:00,web,53
88,9304,2024-08-26 14:28:00,app,10
89,8137,2024-07-17 17:01:00,app,30
90,501,2024-07-31 03:43:00,app,27
91,5776,2024-11-20 17:18:00,app,13
92,5251,2024-07-24 19:31:00,app,18
93,9068,2024-12-19 07:15:00,app,4
94,6246,2024-08-22 09:27:00,app,23
95,6643,2024-07-06 09:02:00,app,21
96,157,2024-04-14 14:45:00,app,56
97,5068,2024-01-10 23:49:00,app,50
98,9167,2024-06-09 12:57:00,app,17
99,92,2024-05-13 17:02:00,app,20
100,4270,2024-06-04 17:36:00,atm,56
101,9706,2024-08-10 16:09:00,app,4
102,261,2024-06-04 14:13:00,web,23
103,8107,2024-10-29 09:11:00,web,8
104,3360,2024-01-02 13:40:00,app,5
105,3018,2024-12-02 22:27:00,web,59
106,7555,2023-12-31 02:07:00,app,3
107,8290,2024-02-27 03:12:00,app,36
108,3131,2024-01-22 22:24:00,web,22
