transaction_id,customer_id,card_id,amount,transaction_date,status,channel,category
1,7088,12,46332,2024-01-03,paid,offline,의료
2,5891,31,63141,2024-05-21,refund,mobile,쇼핑
3,7520,2,101500,2024-09-03,paid,online,쇼핑
4,138,27,134133,2024-10-12,cancel,online,교육
5,9263,21,30237,2024-06-17,refund,offline,문화
6,2935,25,75629,2024-07-21,paid,online,의료
7,5888,30,130580,2024-11-14,paid,online,가전
8,7512,39,25945,2024-06-26,paid,offline,주유
9,3429,34,374444,2024-09-26,paid,online,패션
10,727,1,138884,2024-04-15,paid,mobile,의료
11,9225,20,126753,2024-04-23,paid,online,교육
12,1420,32,113074,2024-05-12,cancel,offline,쇼핑
13,6599,27,53837,2024-09-07,paid,offline,패션
14,7044,13,57394,2024-12-04,paid,mobile,패션
15,3290,45,72551,2024-04-04,refund,offline,의료
16,8069,25,24612,2024-11-05,refund,mobile,외식
17,3777,10,172207,2024-08-13,paid,offline,여행
18,1085,19,232870,2024-02-18,paid,offline,여행
19,7209,34,16327,2024-10-30,paid,offline,쇼핑
20,5730,10,55895,2024-04-01,paid,online,의료
21,9419,18,18449,2024-08-16,paid,offline,패션
22,1540,35,207569,2024-05-20,paid,mobile,가전
23,5663,29,46862,2024-03-24,paid,mobile,의료
24,394,34,14361,2024-05-02,paid,online,의료
25,110,37,116317,2024-10-08,paid,offline,여행
26,7015,4,75963,2024-01-02,paid,mobile,주유
27,9863,43,169930,2024-09-11,paid,mobile,가전
28,1022,28,19073,2024-07-10,paid,offline,쇼핑
29,6852,12,14266,2024-11-23,paid,offline,외식
30,1477,43,221261,2024-02-18,paid,mobile,쇼핑
31,8830,45,132252,2024-06-13,paid,mobile,의료
32,7304,23,148617,2024-11-01,paid,offline,의료
33,2798,13,54209,2024-06-02,paid,mobile,주유
34,778,41,19439,2024-09-28,paid,offline,주유
35,5162,30,68790,2024-11-11,paid,mobile,문화
36,7454,22,399544,2024-05-13,paid,online,가전
37,1041,24,44659,2024-11-25,paid,mobile,쇼핑
38,8345,4,1048931,2024-10-29,paid,online,여행
39,6869,48,268813,2024-09-30,paid,offline,여행
40,3048,48,904031,2024-07-11,paid,mobile,가전
41,4512,5,42805,2024-02-06,paid,online,식품
42,4338,18,284013,2024-02-01,paid,offline,여행
43,1092,2,88450,2024-01-11,cancel,offline,문화
44,109,22,32257,2024-09-09,paid,offline,문화
45,8742,21,242656,2024-07-21,refund,online,가전
46,4825,20,23248,2024-07-14,paid,mobile,식품
47,8006,30,137195,2024-08-28,refund,mobile,가전
48,9347,4,11099,2024-12-25,paid,offline,외식
49,9475,21,44847,2024-01-05,paid,offline,식품
50,9318,47,188877,2024-04-16,paid,online,가전
51,9614,33,98564,2024-01-22,cancel,offline,여행
52,9459,39,29825,2024-10-29,paid,online,교육
53,6158,27,6751,2024-04-12,paid,offline,주유
