model,seed,rows,tp,fn,fp,tn,recall,fpr,f1
FAGE,42,108,64,3,1,40,0.95522388059701,0.02439024390243,0.96969696969696
FAGE,101,88,42,5,3,38,0.89361702127659,0.07317073170731,0.91304347826086
FAGE,202,77,23,4,0,50,0.85185185185185,0,0.92
FAGE,303,71,34,5,1,31,0.87179487179487,0.03125,0.91891891891891
FAGE,404,102,54,4,4,40,0.93103448275862,0.09090909090909,0.93103448275862
Kc-A,42,108,64,3,1,40,0.95522388059701,0.02439024390243,0.96969696969696
Kc-A,101,88,44,3,3,38,0.93617021276595,0.07317073170731,0.93617021276595
Kc-A,202,77,24,3,0,50,0.88888888888888,0,0.94117647058823
Kc-A,303,71,33,6,0,32,0.84615384615384,0,0.91666666666666
Kc-A,404,102,52,6,3,41,0.89655172413793,0.06818181818181,0.92035398230088
Kc-C,42,108,67,0,1,40,1,0.02439024390243,0.99259259259259
Kc-C,101,88,46,1,3,38,0.97872340425531,0.07317073170731,0.95833333333333
Kc-C,202,77,25,2,0,50,0.92592592592592,0,0.96153846153846
Kc-C,303,71,32,7,0,32,0.82051282051282,0,0.90140845070422
Kc-C,404,102,53,5,3,41,0.91379310344827,0.06818181818181,0.9298245614035
LR-A,42,108,48,19,0,41,0.71641791044776,0,0.83478260869565
LR-A,101,88,38,9,1,40,0.80851063829787,0.02439024390243,0.88372093023255
LR-A,202,77,15,12,0,50,0.55555555555555,0,0.71428571428571
LR-A,303,71,22,17,0,32,0.56410256410256,0,0.72131147540983
LR-A,404,102,40,18,1,43,0.68965517241379,0.02272727272727,0.8080808080808
LR-B,42,108,45,22,0,41,0.67164179104477,0,0.80357142857142
LR-B,101,88,34,13,1,40,0.72340425531914,0.02439024390243,0.82926829268292
LR-B,202,77,15,12,0,50,0.55555555555555,0,0.71428571428571
LR-B,303,71,21,18,0,32,0.53846153846153,0,0.7
LR-B,404,102,41,17,1,43,0.70689655172413,0.02272727272727,0.82
LR-C,42,108,53,14,0,41,0.7910447761194,0,0.88333333333333
LR-C,101,88,41,6,2,39,0.87234042553191,0.04878048780487,0.91111111111111
LR-C,202,77,20,7,1,49,0.74074074074074,0.02,0.83333333333333
LR-C,303,71,30,9,1,31,0.76923076923076,0.03125,0.85714285714285
LR-C,404,102,47,11,1,43,0.8103448275862,0.02272727272727,0.88679245283018
Stacking,42,108,64,3,1,40,0.95522388059701,0.02439024390243,0.96969696969696
Stacking,101,88,42,5,3,38,0.89361702127659,0.07317073170731,0.91304347826086
Stacking,202,77,21,6,0,50,0.77777777777777,0,0.875
Stacking,303,71,32,7,0,32,0.82051282051282,0,0.90140845070422
Stacking,404,102,51,7,3,41,0.87931034482758,0.06818181818181,0.91071428571428
