model,seed,original_label,final_category,n,tp,fn,fp,tn,recall,fpr
FAGE,42,normal,1,0,0,0,0,0,,
FAGE,42,normal,2,28,0,0,0,28,,0
FAGE,42,normal,3,11,0,0,0,11,,0
FAGE,42,normal,4,2,0,0,1,1,,0.5
FAGE,42,smishing,1,62,60,2,0,0,0.96774193548387,
FAGE,42,smishing,2,3,2,1,0,0,0.66666666666666,
FAGE,42,smishing,3,2,2,0,0,0,1,
FAGE,42,smishing,4,0,0,0,0,0,,
FAGE,101,normal,1,2,0,0,2,0,,1
FAGE,101,normal,2,30,0,0,0,30,,0
FAGE,101,normal,3,8,0,0,0,8,,0
FAGE,101,normal,4,1,0,0,1,0,,1
FAGE,101,smishing,1,44,41,3,0,0,0.93181818181818,
FAGE,101,smishing,2,1,1,0,0,0,1,
FAGE,101,smishing,3,0,0,0,0,0,,
FAGE,101,smishing,4,2,0,2,0,0,0,
FAGE,202,normal,1,1,0,0,0,1,,0
FAGE,202,normal,2,33,0,0,0,33,,0
FAGE,202,normal,3,14,0,0,0,14,,0
FAGE,202,normal,4,2,0,0,0,2,,0
FAGE,202,smishing,1,23,21,2,0,0,0.91304347826086,
FAGE,202,smishing,2,1,0,1,0,0,0,
FAGE,202,smishing,3,0,0,0,0,0,,
FAGE,202,smishing,4,3,2,1,0,0,0.66666666666666,
FAGE,303,normal,1,1,0,0,1,0,,1
FAGE,303,normal,2,28,0,0,0,28,,0
FAGE,303,normal,3,3,0,0,0,3,,0
FAGE,303,normal,4,0,0,0,0,0,,
FAGE,303,smishing,1,37,34,3,0,0,0.91891891891891,
FAGE,303,smishing,2,0,0,0,0,0,,
FAGE,303,smishing,3,0,0,0,0,0,,
FAGE,303,smishing,4,2,0,2,0,0,0,
FAGE,404,normal,1,1,0,0,1,0,,1
FAGE,404,normal,2,31,0,0,1,30,,0.03225806451612
FAGE,404,normal,3,11,0,0,2,9,,0.18181818181818
FAGE,404,normal,4,1,0,0,0,1,,0
FAGE,404,smishing,1,54,51,3,0,0,0.94444444444444,
FAGE,404,smishing,2,2,1,1,0,0,0.5,
FAGE,404,smishing,3,1,1,0,0,0,1,
FAGE,404,smishing,4,1,1,0,0,0,1,
Kc-A,42,normal,1,0,0,0,0,0,,
Kc-A,42,normal,2,28,0,0,0,28,,0
Kc-A,42,normal,3,11,0,0,0,11,,0
Kc-A,42,normal,4,2,0,0,1,1,,0.5
Kc-A,42,smishing,1,62,60,2,0,0,0.96774193548387,
Kc-A,42,smishing,2,3,2,1,0,0,0.66666666666666,
Kc-A,42,smishing,3,2,2,0,0,0,1,
Kc-A,42,smishing,4,0,0,0,0,0,,
Kc-A,101,normal,1,2,0,0,2,0,,1
Kc-A,101,normal,2,30,0,0,0,30,,0
Kc-A,101,normal,3,8,0,0,0,8,,0
Kc-A,101,normal,4,1,0,0,1,0,,1
Kc-A,101,smishing,1,44,42,2,0,0,0.95454545454545,
Kc-A,101,smishing,2,1,1,0,0,0,1,
Kc-A,101,smishing,3,0,0,0,0,0,,
Kc-A,101,smishing,4,2,1,1,0,0,0.5,
Kc-A,202,normal,1,1,0,0,0,1,,0
Kc-A,202,normal,2,33,0,0,0,33,,0
Kc-A,202,normal,3,14,0,0,0,14,,0
Kc-A,202,normal,4,2,0,0,0,2,,0
Kc-A,202,smishing,1,23,22,1,0,0,0.95652173913043,
Kc-A,202,smishing,2,1,0,1,0,0,0,
Kc-A,202,smishing,3,0,0,0,0,0,,
Kc-A,202,smishing,4,3,2,1,0,0,0.66666666666666,
Kc-A,303,normal,1,1,0,0,0,1,,0
Kc-A,303,normal,2,28,0,0,0,28,,0
Kc-A,303,normal,3,3,0,0,0,3,,0
Kc-A,303,normal,4,0,0,0,0,0,,
Kc-A,303,smishing,1,37,33,4,0,0,0.89189189189189,
Kc-A,303,smishing,2,0,0,0,0,0,,
Kc-A,303,smishing,3,0,0,0,0,0,,
Kc-A,303,smishing,4,2,0,2,0,0,0,
Kc-A,404,normal,1,1,0,0,0,1,,0
Kc-A,404,normal,2,31,0,0,1,30,,0.03225806451612
Kc-A,404,normal,3,11,0,0,2,9,,0.18181818181818
Kc-A,404,normal,4,1,0,0,0,1,,0
Kc-A,404,smishing,1,54,50,4,0,0,0.92592592592592,
Kc-A,404,smishing,2,2,0,2,0,0,0,
Kc-A,404,smishing,3,1,1,0,0,0,1,
Kc-A,404,smishing,4,1,1,0,0,0,1,
Kc-C,42,normal,1,0,0,0,0,0,,
Kc-C,42,normal,2,28,0,0,0,28,,0
Kc-C,42,normal,3,11,0,0,0,11,,0
Kc-C,42,normal,4,2,0,0,1,1,,0.5
Kc-C,42,smishing,1,62,62,0,0,0,1,
Kc-C,42,smishing,2,3,3,0,0,0,1,
Kc-C,42,smishing,3,2,2,0,0,0,1,
Kc-C,42,smishing,4,0,0,0,0,0,,
Kc-C,101,normal,1,2,0,0,2,0,,1
Kc-C,101,normal,2,30,0,0,0,30,,0
Kc-C,101,normal,3,8,0,0,0,8,,0
Kc-C,101,normal,4,1,0,0,1,0,,1
Kc-C,101,smishing,1,44,44,0,0,0,1,
Kc-C,101,smishing,2,1,1,0,0,0,1,
Kc-C,101,smishing,3,0,0,0,0,0,,
Kc-C,101,smishing,4,2,1,1,0,0,0.5,
Kc-C,202,normal,1,1,0,0,0,1,,0
Kc-C,202,normal,2,33,0,0,0,33,,0
Kc-C,202,normal,3,14,0,0,0,14,,0
Kc-C,202,normal,4,2,0,0,0,2,,0
Kc-C,202,smishing,1,23,23,0,0,0,1,
Kc-C,202,smishing,2,1,0,1,0,0,0,
Kc-C,202,smishing,3,0,0,0,0,0,,
Kc-C,202,smishing,4,3,2,1,0,0,0.66666666666666,
Kc-C,303,normal,1,1,0,0,0,1,,0
Kc-C,303,normal,2,28,0,0,0,28,,0
Kc-C,303,normal,3,3,0,0,0,3,,0
Kc-C,303,normal,4,0,0,0,0,0,,
Kc-C,303,smishing,1,37,32,5,0,0,0.86486486486486,
Kc-C,303,smishing,2,0,0,0,0,0,,
Kc-C,303,smishing,3,0,0,0,0,0,,
Kc-C,303,smishing,4,2,0,2,0,0,0,
Kc-C,404,normal,1,1,0,0,0,1,,0
Kc-C,404,normal,2,31,0,0,1,30,,0.03225806451612
Kc-C,404,normal,3,11,0,0,2,9,,0.18181818181818
Kc-C,404,normal,4,1,0,0,0,1,,0
Kc-C,404,smishing,1,54,51,3,0,0,0.94444444444444,
Kc-C,404,smishing,2,2,0,2,0,0,0,
Kc-C,404,smishing,3,1,1,0,0,0,1,
Kc-C,404,smishing,4,1,1,0,0,0,1,
LR-A,42,normal,1,0,0,0,0,0,,
LR-A,42,normal,2,28,0,0,0,28,,0
LR-A,42,normal,3,11,0,0,0,11,,0
LR-A,42,normal,4,2,0,0,0,2,,0
LR-A,42,smishing,1,62,48,14,0,0,0.77419354838709,
LR-A,42,smishing,2,3,0,3,0,0,0,
LR-A,42,smishing,3,2,0,2,0,0,0,
LR-A,42,smishing,4,0,0,0,0,0,,
LR-A,101,normal,1,2,0,0,1,1,,0.5
LR-A,101,normal,2,30,0,0,0,30,,0
LR-A,101,normal,3,8,0,0,0,8,,0
LR-A,101,normal,4,1,0,0,0,1,,0
LR-A,101,smishing,1,44,37,7,0,0,0.84090909090909,
LR-A,101,smishing,2,1,1,0,0,0,1,
LR-A,101,smishing,3,0,0,0,0,0,,
LR-A,101,smishing,4,2,0,2,0,0,0,
LR-A,202,normal,1,1,0,0,0,1,,0
LR-A,202,normal,2,33,0,0,0,33,,0
LR-A,202,normal,3,14,0,0,0,14,,0
LR-A,202,normal,4,2,0,0,0,2,,0
LR-A,202,smishing,1,23,14,9,0,0,0.60869565217391,
LR-A,202,smishing,2,1,0,1,0,0,0,
LR-A,202,smishing,3,0,0,0,0,0,,
LR-A,202,smishing,4,3,1,2,0,0,0.33333333333333,
LR-A,303,normal,1,1,0,0,0,1,,0
LR-A,303,normal,2,28,0,0,0,28,,0
