seed,method,normal_rows,fp,tn
42,fage,1398,8,1390
42,fage_a,1398,8,1390
42,fage_c,1398,9,1389
42,kcbert,1398,10,1388
42,lr_a,1398,5,1393
42,lr_b,1398,3,1395
42,lr_c,1398,3,1395
42,stacking,1398,7,1391
42,word,1398,2,1396
101,fage,1425,18,1407
101,fage_a,1425,15,1410
101,fage_c,1425,16,1409
101,kcbert,1425,14,1411
101,lr_a,1425,19,1406
101,lr_b,1425,20,1405
101,lr_c,1425,20,1405
101,stacking,1425,20,1405
101,word,1425,14,1411
202,fage,1444,16,1428
202,fage_a,1444,16,1428
202,fage_c,1444,14,1430
202,kcbert,1444,13,1431
202,lr_a,1444,15,1429
202,lr_b,1444,9,1435
202,lr_c,1444,16,1428
202,stacking,1444,15,1429
202,word,1444,19,1425
303,fage,1477,18,1459
303,fage_a,1477,15,1462
303,fage_c,1477,14,1463
303,kcbert,1477,13,1464
303,lr_a,1477,18,1459
303,lr_b,1477,13,1464
303,lr_c,1477,20,1457
303,stacking,1477,12,1465
303,word,1477,13,1464
404,fage,1397,25,1372
404,fage_a,1397,31,1366
404,fage_c,1397,10,1387
404,kcbert,1397,10,1387
404,lr_a,1397,28,1369
404,lr_b,1397,16,1381
404,lr_c,1397,24,1373
404,stacking,1397,32,1365
404,word,1397,17,1380
