seed,method,malicious_rows,tp,fn
42,fage,67,62,5
42,fage_a,67,62,5
42,fage_c,67,63,4
42,kcbert,67,64,3
42,lr_a,67,48,19
42,lr_b,67,45,22
42,lr_c,67,53,14
42,stacking,67,66,1
42,word,67,41,26
101,fage,47,43,4
101,fage_a,47,43,4
101,fage_c,47,43,4
101,kcbert,47,44,3
101,lr_a,47,38,9
101,lr_b,47,34,13
101,lr_c,47,41,6
101,stacking,47,43,4
101,word,47,29,18
202,fage,27,23,4
202,fage_a,27,23,4
202,fage_c,27,23,4
202,kcbert,27,24,3
202,lr_a,27,15,12
202,lr_b,27,15,12
202,lr_c,27,20,7
202,stacking,27,23,4
202,word,27,16,11
303,fage,39,34,5
303,fage_a,39,34,5
303,fage_c,39,34,5
303,kcbert,39,33,6
303,lr_a,39,22,17
303,lr_b,39,21,18
303,lr_c,39,30,9
303,stacking,39,33,6
303,word,39,17,22
404,fage,58,56,2
404,fage_a,58,56,2
404,fage_c,58,56,2
404,kcbert,58,52,6
404,lr_a,58,40,18
404,lr_b,58,41,17
404,lr_c,58,47,11
404,stacking,58,56,2
404,word,58,41,17
