seed,method,threshold,recall,fpr
42,stacking,0.122,0.9976019185,0.0093123209
42,fage,0.274,0.9988009592,0.0093123209
42,fage_a,0.403,0.9988009592,0.0093123209
42,fage_c,0.386,0.9988009592,0.0093123209
42,lr_a,0.493,0.9724220624,0.0093123209
42,lr_b,0.56,0.9592326139,0.0085959885
42,lr_c,0.555,0.9712230216,0.0085959885
42,word,0.613,0.9424460432,0.0078796562
42,kcbert,0.11,0.9964028777,0.0071633238
101,stacking,0.165,0.9939467312,0.0097305389
101,fage,0.211,0.995157385,0.0082335329
101,fage_a,0.368,0.995157385,0.005988024
101,fage_c,0.351,0.995157385,0.0067365269
101,lr_a,0.392,0.985472155,0.0097305389
101,lr_b,0.477,0.9733656174,0.0082335329
101,lr_c,0.416,0.99031477,0.0097305389
101,word,0.515,0.9721549637,0.0089820359
101,kcbert,0.125,0.9963680387,0.005988024
202,stacking,0.172,0.987804878,0.0079193665
202,fage,0.203,0.987804878,0.0079193665
202,fage_a,0.416,0.987804878,0.0064794816
202,fage_c,0.53,0.987804878,0.0064794816
202,lr_a,0.447,0.9613821138,0.0093592513
202,lr_b,0.544,0.9369918699,0.007199424
202,lr_c,0.43,0.9695121951,0.0093592513
202,word,0.458,0.9430894309,0.0086393089
202,kcbert,0.054,0.9837398374,0.0086393089
303,stacking,0.58,0.9672131148,0.0096296296
303,fage,0.523,0.9744990893,0.0096296296
303,fage_a,0.794,0.9763205829,0.0096296296
303,fage_c,0.825,0.9744990893,0.0096296296
303,lr_a,0.538,0.9544626594,0.0081481481
303,lr_b,0.592,0.9344262295,0.0096296296
303,lr_c,0.499,0.9617486339,0.0096296296
303,word,0.649,0.9071038251,0.0096296296
303,kcbert,0.756,0.9726775956,0.0088888889
404,stacking,0.107,0.9869158879,0.0096352374
404,fage,0.23,0.985046729,0.0061940812
404,fage_a,0.406,0.985046729,0.0096352374
404,fage_c,0.653,0.985046729,0.0048176187
404,lr_a,0.381,0.953271028,0.0089470062
404,lr_b,0.407,0.9588785047,0.0089470062
404,lr_c,0.406,0.9588785047,0.0061940812
404,word,0.433,0.9401869159,0.0089470062
404,kcbert,0.187,0.9869158879,0.0096352374
