order_id,user_id,order_date,order_datetime,status,total_amount,items_amount,discount_amount,discount_rate,shipping_fee,payment_method,device,channel,shipping_region,coupon_used,refund_date
1,24368,27DEC2025,27DEC2025:05:32:47,paid,23140,21200,1060,5.0,3000,card,mobile,organic,서울,0,
2,31462,08MAR2026,08MAR2026:14:15:57,paid,67500,67500,0,0.0,0,naver,tablet,social,대구,1,
3,37799,10FEB2025,10FEB2025:08:47:28,paid,415055,436900,21845,5.0,0,kakao,pc,direct,제주,0,
4,27015,02MAY2025,02MAY2025:22:32:43,cancelled,1314500,1314500,0,0.0,0,card,mobile,email,충남,0,
5,29354,26JUN2026,26JUN2026:17:33:39,paid,137360,161600,24240,15.0,0,transfer,pc,organic,서울,0,
6,45772,16APR2026,16APR2026:19:25:27,paid,44200,44200,0,0.0,0,card,pc,organic,부산,0,
7,16540,21JUL2025,21JUL2025:01:28:55,paid,12520,11200,1680,15.0,3000,card,mobile,social,부산,0,
8,9583,26MAR2026,26MAR2026:23:42:12,paid,249000,249000,0,0.0,0,kakao,mobile,organic,경북,0,
9,12319,17MAY2025,17MAY2025:00:58:49,paid,13800,10800,0,0.0,3000,card,mobile,organic,충남,1,
10,38415,11JAN2026,11JAN2026:09:49:33,cancelled,323000,380000,57000,15.0,0,card,pc,direct,서울,0,
11,29136,03MAY2026,03MAY2026:09:23:38,refunded,138890,146200,7310,5.0,0,kakao,pc,organic,서울,0,04MAY2026
12,32733,12JUN2026,12JUN2026:02:00:30,paid,38000,38000,0,0.0,0,card,mobile,email,경기,0,
13,32677,04FEB2025,04FEB2025:23:14:32,paid,1055900,1055900,0,0.0,0,etc,mobile,paid_search,경기,0,
14,35820,18APR2026,18APR2026:03:47:55,paid,12920,12400,2480,20.0,3000,card,pc,direct,서울,0,
15,45115,03JUN2025,03JUN2025:08:49:06,paid,812600,956000,143400,15.0,0,kakao,mobile,social,경기,0,
16,32722,07DEC2025,07DEC2025:22:53:13,paid,235220,247600,12380,5.0,0,naver,pc,paid_search,경기,0,
17,19171,11MAY2026,11MAY2026:09:57:11,paid,80325,94500,14175,15.0,0,kakao,mobile,direct,대구,0,
18,44205,15MAY2026,15MAY2026:10:11:58,paid,202900,202900,0,0.0,0,card,pc,email,경기,0,
19,15476,27JAN2026,27JAN2026:05:48:23,paid,452300,452300,0,0.0,0,card,mobile,social,인천,0,
20,5797,21OCT2025,21OCT2025:17:29:36,cancelled,36210,42600,6390,15.0,0,kakao,mobile,direct,충남,0,
21,8457,15FEB2026,15FEB2026:08:56:25,paid,742100,742100,0,0.0,0,card,mobile,organic,경기,0,
22,25015,18JAN2025,18JAN2025:02:01:32,paid,84500,84500,0,0.0,0,card,mobile,paid_search,서울,0,
23,48998,03MAR2026,03MAR2026:08:26:29,paid,10990,9400,1410,15.0,3000,card,pc,social,충남,0,
24,2236,27JUN2026,27JUN2026:13:45:43,paid,1712920,2015200,302280,15.0,0,kakao,pc,organic,경기,0,
25,9960,10MAY2026,10MAY2026:19:27:35,paid,98800,98800,0,0.0,0,card,pc,email,경기,0,
26,40082,20JUN2026,20JUN2026:04:39:11,paid,1047690,1164100,116410,10.0,0,card,mobile,social,서울,0,
27,42656,09MAR2025,09MAR2025:03:29:10,paid,84870,94300,9430,10.0,0,kakao,pc,email,경북,0,
