card_id,card_name,card_type,annual_fee,credit_limit
1,Capital Platinum v1,Debit,0,3000000
2,Capital Gold v1,Debit,10000,50000000
3,Capital Silver v1,Credit,30000,30000000
4,Capital Travel v1,Credit,10000,50000000
5,Capital Shopping v1,Credit,100000,1000000
6,Capital Premium v1,Credit,30000,3000000
7,Capital Lite v1,Credit,30000,5000000
8,Capital Family v1,Credit,100000,50000000
9,Capital Student v1,Credit,0,5000000
10,Capital Senior v1,Debit,100000,5000000
11,Capital Platinum v2,Debit,200000,3000000
12,Capital Gold v2,Credit,100000,3000000
13,Capital Silver v2,Debit,0,5000000
14,Capital Travel v2,Debit,50000,10000000
15,Capital Shopping v2,Credit,30000,10000000
16,Capital Premium v2,Debit,200000,50000000
17,Capital Lite v2,Debit,10000,30000000
18,Capital Family v2,Credit,100000,3000000
19,Capital Student v2,Credit,50000,10000000
20,Capital Senior v2,Credit,100000,10000000
21,Capital Platinum v3,Credit,200000,1000000
22,Capital Gold v3,Credit,200000,10000000
23,Capital Silver v3,Credit,50000,10000000
24,Capital Travel v3,Credit,30000,10000000
25,Capital Shopping v3,Debit,10000,50000000
26,Capital Premium v3,Debit,0,3000000
27,Capital Lite v3,Credit,200000,10000000
28,Capital Family v3,Credit,30000,5000000
29,Capital Student v3,Debit,100000,10000000
30,Capital Senior v3,Credit,30000,5000000
31,Capital Platinum v4,Credit,30000,10000000
32,Capital Gold v4,Credit,10000,10000000
33,Capital Silver v4,Credit,50000,30000000
34,Capital Travel v4,Debit,100000,10000000
35,Capital Shopping v4,Credit,200000,10000000
36,Capital Premium v4,Credit,10000,30000000
37,Capital Lite v4,Credit,100000,50000000
38,Capital Family v4,Debit,0,30000000
39,Capital Student v4,Debit,10000,30000000
40,Capital Senior v4,Credit,100000,10000000
41,Capital Platinum v5,Debit,50000,50000000
42,Capital Gold v5,Credit,100000,3000000
43,Capital Silver v5,Debit,30000,10000000
44,Capital Travel v5,Debit,30000,30000000
45,Capital Shopping v5,Credit,100000,1000000
46,Capital Premium v5,Credit,50000,3000000
47,Capital Lite v5,Credit,0,5000000
48,Capital Family v5,Credit,200000,1000000
49,Capital Student v5,Credit,50000,3000000
50,Capital Senior v5,Credit,50000,10000000
