message_id,url_id,url_host_defanged,url_length,hostname_length,path_length,path_depth,digit_ratio,special_ratio,subdomain_count,has_ip_literal,has_port,has_punycode,has_at_symbol,is_malformed,suspicious_token_count,hostname_entropy
msg-bc0029304fb701ec798c,url-a2120bc769df83167fa5,hxxps://c11[.]kr,11,6,5,1,0.2727272727272727,0.18181818181818182,0,0,0,0,0,0,0,2.2516291673878226
msg-e2d75f440c1eaf05de32,url-df9a67108d8128dbd8a0,hxxp://bit[.]ly,14,6,8,1,0.21428571428571427,0.14285714285714285,0,0,0,0,0,0,0,2.584962500721156
msg-f22cb41c1131c67cd134,url-d587c95af396cd42c751,hxxp://vo[.]la,12,5,7,1,0.08333333333333333,0.16666666666666666,0,0,0,0,0,0,0,2.321928094887362
msg-9b3216ac98b3e2cb729d,url-6a605eafbcdcdb09b584,hxxp://cv[.]uplus[.]kr,20,11,9,1,0.15,0.2,1,0,0,0,0,0,0,3.095795255000934
msg-b6516141eea563e03f12,url-f288873bbfad636bdf16,hxxp://one-keeper[.]co[.]kr,28,16,12,2,0.0,0.17857142857142858,1,0,0,0,0,0,0,3.0
msg-f3b1854566b7e3ea18d2,url-5f3ee997d61ad8a044e6,hxxps://ncvr[.]kdca[.]go[.]kr,15,15,0,0,0.0,0.2,2,0,0,0,0,0,0,3.1898980954642875
msg-632a5d7cfa1a3f8ab9ac,url-b67e9a7f55213539546e,hxxp://ncvr[.]kdca[.]go[.]kr,15,15,0,0,0.0,0.2,2,0,0,0,0,0,0,3.1898980954642875
msg-3a37aa9a4311299e0983,url-b6e6acc386176a00c8ad,hxxps://www[.]finbridge[.]co[.]kr,30,19,11,2,0.0,0.2,2,0,0,0,0,0,0,3.5368867237421675
msg-d49bc2342f2e69a3baa5,url-efe9ede153de839c9c94,hxxp://vo[.]la,12,5,7,1,0.0,0.16666666666666666,0,0,0,0,0,0,0,2.321928094887362
msg-c4f7116cd28d2c75a781,url-56c0b5c3f88e644b1688,hxxp://url[.]kr,13,6,7,1,0.15384615384615385,0.15384615384615385,0,0,0,0,0,0,0,2.2516291673878226
msg-c4f7116cd28d2c75a781,url-9fe89ab012b0bb5b2ccb,hxxp://ncvr[.]kdca[.]go[.]kr,15,15,0,0,0.0,0.2,2,0,0,0,0,0,0,3.1898980954642875
