model,seed,rows,tp,fn,fp,tn,recall,fpr,f1
FAGE,42,108,64,3,1,40,0.9552238805970149,0.024390243902439025,0.9696969696969697
FAGE,101,88,42,5,3,38,0.8936170212765957,0.07317073170731707,0.9130434782608695
FAGE,202,77,23,4,0,50,0.8518518518518519,0.0,0.92
FAGE,303,71,34,5,1,31,0.8717948717948718,0.03125,0.918918918918919
FAGE,404,102,54,4,4,40,0.9310344827586207,0.09090909090909091,0.9310344827586207
Kc-A,42,108,64,3,1,40,0.9552238805970149,0.024390243902439025,0.9696969696969697
Kc-A,101,88,44,3,3,38,0.9361702127659575,0.07317073170731707,0.9361702127659575
Kc-A,202,77,24,3,0,50,0.8888888888888888,0.0,0.9411764705882353
Kc-A,303,71,33,6,0,32,0.8461538461538461,0.0,0.9166666666666666
Kc-A,404,102,52,6,3,41,0.896551724137931,0.06818181818181818,0.9203539823008849
Kc-C,42,108,67,0,1,40,1.0,0.024390243902439025,0.9925925925925926
Kc-C,101,88,46,1,3,38,0.9787234042553191,0.07317073170731707,0.9583333333333334
Kc-C,202,77,25,2,0,50,0.9259259259259259,0.0,0.9615384615384616
Kc-C,303,71,32,7,0,32,0.8205128205128205,0.0,0.9014084507042254
Kc-C,404,102,53,5,3,41,0.9137931034482759,0.06818181818181818,0.9298245614035088
LR-A,42,108,48,19,0,41,0.7164179104477612,0.0,0.8347826086956521
LR-A,101,88,38,9,1,40,0.8085106382978723,0.024390243902439025,0.8837209302325582
LR-A,202,77,15,12,0,50,0.5555555555555556,0.0,0.7142857142857143
LR-A,303,71,22,17,0,32,0.5641025641025641,0.0,0.7213114754098361
LR-A,404,102,40,18,1,43,0.6896551724137931,0.022727272727272728,0.8080808080808081
LR-B,42,108,45,22,0,41,0.6716417910447762,0.0,0.8035714285714286
LR-B,101,88,34,13,1,40,0.723404255319149,0.024390243902439025,0.8292682926829268
LR-B,202,77,15,12,0,50,0.5555555555555556,0.0,0.7142857142857143
LR-B,303,71,21,18,0,32,0.5384615384615384,0.0,0.7
LR-B,404,102,41,17,1,43,0.7068965517241379,0.022727272727272728,0.82
LR-C,42,108,53,14,0,41,0.7910447761194029,0.0,0.8833333333333333
LR-C,101,88,41,6,2,39,0.8723404255319149,0.04878048780487805,0.9111111111111111
LR-C,202,77,20,7,1,49,0.7407407407407407,0.02,0.8333333333333334
LR-C,303,71,30,9,1,31,0.7692307692307693,0.03125,0.8571428571428571
LR-C,404,102,47,11,1,43,0.8103448275862069,0.022727272727272728,0.8867924528301887
Stacking,42,108,64,3,1,40,0.9552238805970149,0.024390243902439025,0.9696969696969697
Stacking,101,88,42,5,3,38,0.8936170212765957,0.07317073170731707,0.9130434782608695
Stacking,202,77,21,6,0,50,0.7777777777777778,0.0,0.875
Stacking,303,71,32,7,0,32,0.8205128205128205,0.0,0.9014084507042254
Stacking,404,102,51,7,3,41,0.8793103448275862,0.06818181818181818,0.9107142857142857
