model,seed,original_label,final_category,n,tp,fn,fp,tn,recall,fpr
LR-A,42,normal,4,2,0,0,0,2,,0.0
LR-A,42,normal,2,28,0,0,0,28,,0.0
LR-A,42,normal,3,11,0,0,0,11,,0.0
LR-A,42,normal,1,0,0,0,0,0,,
LR-A,42,smishing,4,0,0,0,0,0,,
LR-A,42,smishing,2,3,0,3,0,0,0.0,
LR-A,42,smishing,3,2,0,2,0,0,0.0,
LR-A,42,smishing,1,62,48,14,0,0,0.7741935483870968,
LR-A,101,normal,4,1,0,0,0,1,,0.0
LR-A,101,normal,2,30,0,0,0,30,,0.0
LR-A,101,normal,3,8,0,0,0,8,,0.0
LR-A,101,normal,1,2,0,0,1,1,,0.5
LR-A,101,smishing,4,2,0,2,0,0,0.0,
LR-A,101,smishing,2,1,1,0,0,0,1.0,
LR-A,101,smishing,3,0,0,0,0,0,,
LR-A,101,smishing,1,44,37,7,0,0,0.8409090909090909,
LR-A,202,normal,4,2,0,0,0,2,,0.0
LR-A,202,normal,2,33,0,0,0,33,,0.0
LR-A,202,normal,3,14,0,0,0,14,,0.0
LR-A,202,normal,1,1,0,0,0,1,,0.0
LR-A,202,smishing,4,3,1,2,0,0,0.3333333333333333,
LR-A,202,smishing,2,1,0,1,0,0,0.0,
LR-A,202,smishing,3,0,0,0,0,0,,
LR-A,202,smishing,1,23,14,9,0,0,0.6086956521739131,
LR-A,303,normal,4,0,0,0,0,0,,
LR-A,303,normal,2,28,0,0,0,28,,0.0
LR-A,303,normal,3,3,0,0,0,3,,0.0
LR-A,303,normal,1,1,0,0,0,1,,0.0
LR-A,303,smishing,4,2,0,2,0,0,0.0,
LR-A,303,smishing,2,0,0,0,0,0,,
LR-A,303,smishing,3,0,0,0,0,0,,
LR-A,303,smishing,1,37,22,15,0,0,0.5945945945945946,
LR-A,404,normal,4,1,0,0,0,1,,0.0
LR-A,404,normal,2,31,0,0,0,31,,0.0
LR-A,404,normal,3,11,0,0,0,11,,0.0
LR-A,404,normal,1,1,0,0,1,0,,1.0
LR-A,404,smishing,4,1,0,1,0,0,0.0,
LR-A,404,smishing,2,2,1,1,0,0,0.5,
LR-A,404,smishing,3,1,0,1,0,0,0.0,
LR-A,404,smishing,1,54,39,15,0,0,0.7222222222222222,
LR-B,42,normal,4,2,0,0,0,2,,0.0
LR-B,42,normal,2,28,0,0,0,28,,0.0
LR-B,42,normal,3,11,0,0,0,11,,0.0
LR-B,42,normal,1,0,0,0,0,0,,
LR-B,42,smishing,4,0,0,0,0,0,,
LR-B,42,smishing,2,3,0,3,0,0,0.0,
LR-B,42,smishing,3,2,0,2,0,0,0.0,
LR-B,42,smishing,1,62,45,17,0,0,0.7258064516129032,
LR-B,101,normal,4,1,0,0,0,1,,0.0
LR-B,101,normal,2,30,0,0,0,30,,0.0
LR-B,101,normal,3,8,0,0,0,8,,0.0
LR-B,101,normal,1,2,0,0,1,1,,0.5
LR-B,101,smishing,4,2,0,2,0,0,0.0,
LR-B,101,smishing,2,1,1,0,0,0,1.0,
LR-B,101,smishing,3,0,0,0,0,0,,
LR-B,101,smishing,1,44,33,11,0,0,0.75,
LR-B,202,normal,4,2,0,0,0,2,,0.0
LR-B,202,normal,2,33,0,0,0,33,,0.0
LR-B,202,normal,3,14,0,0,0,14,,0.0
LR-B,202,normal,1,1,0,0,0,1,,0.0
LR-B,202,smishing,4,3,0,3,0,0,0.0,
LR-B,202,smishing,2,1,0,1,0,0,0.0,
LR-B,202,smishing,3,0,0,0,0,0,,
LR-B,202,smishing,1,23,15,8,0,0,0.6521739130434783,
LR-B,303,normal,4,0,0,0,0,0,,
LR-B,303,normal,2,28,0,0,0,28,,0.0
LR-B,303,normal,3,3,0,0,0,3,,0.0
LR-B,303,normal,1,1,0,0,0,1,,0.0
LR-B,303,smishing,4,2,0,2,0,0,0.0,
LR-B,303,smishing,2,0,0,0,0,0,,
LR-B,303,smishing,3,0,0,0,0,0,,
LR-B,303,smishing,1,37,21,16,0,0,0.5675675675675675,
LR-B,404,normal,4,1,0,0,0,1,,0.0
LR-B,404,normal,2,31,0,0,0,31,,0.0
LR-B,404,normal,3,11,0,0,0,11,,0.0
LR-B,404,normal,1,1,0,0,1,0,,1.0
LR-B,404,smishing,4,1,0,1,0,0,0.0,
LR-B,404,smishing,2,2,1,1,0,0,0.5,
LR-B,404,smishing,3,1,0,1,0,0,0.0,
LR-B,404,smishing,1,54,40,14,0,0,0.7407407407407407,
LR-C,42,normal,4,2,0,0,0,2,,0.0
LR-C,42,normal,2,28,0,0,0,28,,0.0
LR-C,42,normal,3,11,0,0,0,11,,0.0
LR-C,42,normal,1,0,0,0,0,0,,
LR-C,42,smishing,4,0,0,0,0,0,,
LR-C,42,smishing,2,3,2,1,0,0,0.6666666666666666,
LR-C,42,smishing,3,2,0,2,0,0,0.0,
LR-C,42,smishing,1,62,51,11,0,0,0.8225806451612904,
LR-C,101,normal,4,1,0,0,0,1,,0.0
LR-C,101,normal,2,30,0,0,0,30,,0.0
LR-C,101,normal,3,8,0,0,0,8,,0.0
LR-C,101,normal,1,2,0,0,2,0,,1.0
LR-C,101,smishing,4,2,0,2,0,0,0.0,
LR-C,101,smishing,2,1,1,0,0,0,1.0,
LR-C,101,smishing,3,0,0,0,0,0,,
LR-C,101,smishing,1,44,40,4,0,0,0.9090909090909091,
LR-C,202,normal,4,2,0,0,1,1,,0.5
LR-C,202,normal,2,33,0,0,0,33,,0.0
LR-C,202,normal,3,14,0,0,0,14,,0.0
LR-C,202,normal,1,1,0,0,0,1,,0.0
LR-C,202,smishing,4,3,1,2,0,0,0.3333333333333333,
LR-C,202,smishing,2,1,0,1,0,0,0.0,
LR-C,202,smishing,3,0,0,0,0,0,,
LR-C,202,smishing,1,23,19,4,0,0,0.8260869565217391,
LR-C,303,normal,4,0,0,0,0,0,,
LR-C,303,normal,2,28,0,0,0,28,,0.0
LR-C,303,normal,3,3,0,0,0,3,,0.0
LR-C,303,normal,1,1,0,0,1,0,,1.0
LR-C,303,smishing,4,2,0,2,0,0,0.0,
LR-C,303,smishing,2,0,0,0,0,0,,
LR-C,303,smishing,3,0,0,0,0,0,,
LR-C,303,smishing,1,37,30,7,0,0,0.8108108108108109,
LR-C,404,normal,4,1,0,0,0,1,,0.0
LR-C,404,normal,2,31,0,0,0,31,,0.0
LR-C,404,normal,3,11,0,0,0,11,,0.0
LR-C,404,normal,1,1,0,0,1,0,,1.0
LR-C,404,smishing,4,1,0,1,0,0,0.0,
LR-C,404,smishing,2,2,1,1,0,0,0.5,
LR-C,404,smishing,3,1,0,1,0,0,0.0,
LR-C,404,smishing,1,54,46,8,0,0,0.8518518518518519,
Kc-A,42,normal,4,2,0,0,1,1,,0.5
Kc-A,42,normal,2,28,0,0,0,28,,0.0
Kc-A,42,normal,3,11,0,0,0,11,,0.0
Kc-A,42,normal,1,0,0,0,0,0,,
Kc-A,42,smishing,4,0,0,0,0,0,,
Kc-A,42,smishing,2,3,2,1,0,0,0.6666666666666666,
Kc-A,42,smishing,3,2,2,0,0,0,1.0,
Kc-A,42,smishing,1,62,60,2,0,0,0.967741935483871,
Kc-A,101,normal,4,1,0,0,1,0,,1.0
Kc-A,101,normal,2,30,0,0,0,30,,0.0
Kc-A,101,normal,3,8,0,0,0,8,,0.0
Kc-A,101,normal,1,2,0,0,2,0,,1.0
Kc-A,101,smishing,4,2,1,1,0,0,0.5,
Kc-A,101,smishing,2,1,1,0,0,0,1.0,
Kc-A,101,smishing,3,0,0,0,0,0,,
Kc-A,101,smishing,1,44,42,2,0,0,0.9545454545454546,
Kc-A,202,normal,4,2,0,0,0,2,,0.0
Kc-A,202,normal,2,33,0,0,0,33,,0.0
