message_id,collection_year,collection_month,attack_type_code,attack_type_ko,has_url,text_length,probability,detected,similarity_to_train,novel,year_has_enough_rows
kisa-247ea86a9a79fbf6f66e,2021,2021-12,delivery,택배,1,55,0.967849,1,0.980756,0,0
kisa-4bf771f36a942bdf04e1,2021,2021-12,delivery,택배,1,54,0.960868,1,0.959692,0,0
kisa-2751f53577af359a02db,2021,2021-12,delivery,택배,1,46,0.949874,1,0.874813,0,0
kisa-7027905fa800445eacdd,2021,2021-12,delivery,택배,1,56,0.88313,1,0.543327,0,0
kisa-3ecda4380237691fd901,2021,2021-12,delivery,택배,1,66,0.952614,1,0.71779,0,0
kisa-3d5bb7e4e4248973583e,2021,2021-12,delivery,택배,1,64,0.947414,1,0.706389,0,0
kisa-a5208c6c403d6d7c874f,2022,2022-01,delivery,택배,1,43,0.980514,1,0.961091,0,1
kisa-142fdd7e1c953cb90723,2022,2022-01,public_agency,공공기관,1,34,0.949269,1,0.40121,1,1
kisa-a490b4cdb309a313acff,2022,2022-01,public_agency,공공기관,1,44,0.946281,1,0.475443,1,1
kisa-cd7bbc9a1102928d5fef,2022,2022-01,public_agency,공공기관,1,41,0.966255,1,0.407954,1,1
kisa-3a8b6d461d0481d1ab1e,2022,2022-01,delivery,택배,1,53,0.982725,1,0.982679,0,1
kisa-de317fa60b346df64ab3,2022,2022-01,delivery,택배,1,54,0.991011,1,0.812837,0,1
kisa-c45688c2944c08b14349,2022,2022-01,delivery,택배,1,52,0.981252,1,0.914206,0,1
kisa-414b210cd8d03759486e,2022,2022-01,payment,결제,1,831,0.095023,0,0.167516,1,1
kisa-69d87c685f42983454d7,2022,2022-01,delivery,택배,1,50,0.978118,1,0.56614,0,1
kisa-49da3dedcc0d804c6ab9,2022,2022-01,delivery,택배,1,60,0.91173,1,0.980689,0,1
kisa-7253fcd1175ef5509d2f,2022,2022-01,delivery,택배,1,49,0.944707,1,0.593283,0,1
kisa-d9265a9ae17b7b91a8fc,2022,2022-01,delivery,택배,1,46,0.98135,1,0.893059,0,1
kisa-3b6df6aa8df1cacdf9cc,2022,2022-01,delivery,택배,1,53,0.950422,1,0.587013,0,1
kisa-a53bd27478e4a4065d51,2022,2022-01,delivery,택배,1,53,0.98632,1,0.542366,0,1
kisa-786540b2b4ad9c074307,2022,2022-01,delivery,택배,1,40,0.968589,1,0.811779,0,1
kisa-81dd1e6fe1441a5184a2,2022,2022-01,delivery,택배,1,59,0.951764,1,0.581921,0,1
kisa-34a39f31ec7c5e3c1a30,2022,2022-01,delivery,택배,1,57,0.977861,1,0.972638,0,1
kisa-99d0788c072972ab84eb,2022,2022-01,delivery,택배,1,40,0.901972,1,0.488355,1,1
kisa-36541f7e2af3bb36afd1,2022,2022-01,delivery,택배,1,54,0.980272,1,0.559871,0,1
kisa-9438e565065f118c3fca,2022,2022-01,delivery,택배,1,46,0.946752,1,0.604224,0,1
kisa-a19986883fe871243851,2022,2022-01,delivery,택배,1,50,0.815422,1,0.506752,0,1
kisa-879ceaafc95677182a58,2022,2022-01,delivery,택배,1,47,0.969912,1,0.96941,0,1
kisa-db2069da4fef99fca937,2022,2022-01,delivery,택배,1,55,0.97388,1,0.937781,0,1
