arm,seed,threshold,recall,fpr,f1,tp,fp,fn,tn,total_n,brier_score
DUP,42,0.025356,0.972727,0.007746,0.969789,321,11,9,1409,1750,0.012249
FLIP,42,0.249265,0.960606,0.008451,0.962064,317,12,13,1408,1750,0.011669
BASE,42,0.033222,0.978788,0.009155,0.969970,323,13,7,1407,1750,0.012018
DUP,101,0.056655,0.957576,0.008451,0.960486,316,12,14,1408,1750,0.015002
FLIP,101,0.038150,0.966667,0.007746,0.966667,319,11,11,1409,1750,0.011353
BASE,101,0.108383,0.969697,0.011972,0.959520,320,17,10,1403,1750,0.013184
DUP,202,0.023381,0.978788,0.007746,0.972892,323,11,7,1409,1750,0.010791
FLIP,202,0.068893,0.966667,0.004930,0.972561,319,7,11,1413,1750,0.010618
BASE,202,0.620583,0.939394,0.003521,0.961240,310,5,20,1415,1750,0.013332
DUP,303,0.018280,0.969697,0.010563,0.962406,320,15,10,1405,1750,0.012190
FLIP,303,0.294521,0.951515,0.007746,0.958779,314,11,16,1409,1750,0.013780
BASE,303,0.199156,0.966667,0.011972,0.957958,319,17,11,1403,1750,0.013492
DUP,404,0.019324,0.972727,0.009859,0.965414,321,14,9,1406,1750,0.010659
FLIP,404,0.036188,0.963636,0.004930,0.970992,318,7,12,1413,1750,0.010497
BASE,404,0.013827,0.975758,0.010563,0.965517,322,15,8,1405,1750,0.011603
