arm,seed,has_url,url_group,recall,fpr,f1,tp,fp,fn,tn,total_n
DUP,42,0,URL_NO,0.962264,0.002597,0.953271,51,3,2,1152,1208
DUP,42,1,URL_YES,0.974729,0.030189,0.972973,270,8,7,257,542
FLIP,42,0,URL_NO,0.943396,0.004329,0.925926,50,5,3,1150,1208
FLIP,42,1,URL_YES,0.963899,0.026415,0.969147,267,7,10,258,542
BASE,42,0,URL_NO,0.943396,0.004329,0.925926,50,5,3,1150,1208
BASE,42,1,URL_YES,0.985560,0.030189,0.978495,273,8,4,257,542
DUP,101,0,URL_NO,0.924528,0.002597,0.933333,49,3,4,1152,1208
DUP,101,1,URL_YES,0.963899,0.033962,0.965642,267,9,10,256,542
FLIP,101,0,URL_NO,0.962264,0.004329,0.935780,51,5,2,1150,1208
FLIP,101,1,URL_YES,0.967509,0.022642,0.972777,268,6,9,259,542
BASE,101,0,URL_NO,0.905660,0.004329,0.905660,48,5,5,1150,1208
BASE,101,1,URL_YES,0.981949,0.045283,0.969697,272,12,5,253,542
DUP,202,0,URL_NO,0.981132,0.001732,0.971963,52,2,1,1153,1208
DUP,202,1,URL_YES,0.978339,0.033962,0.973070,271,9,6,256,542
FLIP,202,0,URL_NO,0.943396,0.003463,0.934579,50,4,3,1151,1208
FLIP,202,1,URL_YES,0.971119,0.011321,0.979964,269,3,8,262,542
BASE,202,0,URL_NO,0.849057,0.000866,0.909091,45,1,8,1154,1208
BASE,202,1,URL_YES,0.956679,0.015094,0.970696,265,4,12,261,542
DUP,303,0,URL_NO,0.943396,0.002597,0.943396,50,3,3,1152,1208
DUP,303,1,URL_YES,0.974729,0.045283,0.966011,270,12,7,253,542
FLIP,303,0,URL_NO,0.886792,0.003463,0.903846,47,4,6,1151,1208
FLIP,303,1,URL_YES,0.963899,0.026415,0.969147,267,7,10,258,542
BASE,303,0,URL_NO,0.962264,0.003463,0.944444,51,4,2,1151,1208
BASE,303,1,URL_YES,0.967509,0.049057,0.960573,268,13,9,252,542
DUP,404,0,URL_NO,0.924528,0.002597,0.933333,49,3,4,1152,1208
DUP,404,1,URL_YES,0.981949,0.041509,0.971429,272,11,5,254,542
FLIP,404,0,URL_NO,0.924528,0.001732,0.942308,49,2,4,1153,1208
FLIP,404,1,URL_YES,0.971119,0.018868,0.976407,269,5,8,260,542
BASE,404,0,URL_NO,0.943396,0.003463,0.934579,50,4,3,1151,1208
BASE,404,1,URL_YES,0.981949,0.041509,0.971429,272,11,5,254,542
