group_rank,group_id_short,label_kr,group_size,has_url,base_mean,dup_mean,flip_mean,base_std,dup_std,flip_std
1,37027523,정상,1,1,0.961792,0.596392,0.401538,0.056629,0.458889,0.455347
2,bcaa3ff2,스미싱,1,0,0.128196,0.207435,0.367219,0.216663,0.245682,0.440154
3,f2869943,정상,2,1,0.950564,0.733824,0.374136,0.091237,0.278455,0.439216
4,e2187648,정상,1,0,0.226809,0.003916,0.327932,0.389032,0.004412,0.387543
5,772d4c5a,스미싱,1,1,0.999218,0.604843,0.752189,0.000832,0.481803,0.381202
6,1dbebbdd,스미싱,1,1,0.297923,0.188523,0.248049,0.297307,0.348949,0.375487
7,c44cad38,정상,1,1,0.022506,0.119011,0.198615,0.027704,0.229198,0.369747
8,0df9abfd,스미싱,1,1,0.999526,0.999536,0.783509,0.000353,0.000247,0.352195
9,f495a399,스미싱,2,1,0.759811,0.982680,0.765352,0.383383,0.032149,0.339518
10,2359f71f,스미싱,1,0,0.019260,0.150656,0.585657,0.019684,0.206974,0.338988
11,7964a599,스미싱,1,1,0.903909,0.589601,0.575252,0.119106,0.367110,0.333583
12,72bea48f,스미싱,1,0,0.606623,0.412056,0.552535,0.330556,0.322929,0.312353
13,aacad2de,정상,1,1,0.791462,0.973397,0.651527,0.386627,0.036077,0.308368
14,2de44534,정상,1,1,0.140756,0.231406,0.464674,0.213868,0.334198,0.298094
15,2668f9cc,스미싱,1,0,0.350154,0.044224,0.310125,0.423258,0.038169,0.298002
16,48cd83d4,정상,1,0,0.158641,0.005356,0.168242,0.287999,0.003452,0.290138
17,0a415ee5,스미싱,1,1,0.999513,0.999381,0.849724,0.000429,0.000382,0.277202
18,39efe806,정상,1,0,0.034156,0.003297,0.145697,0.065384,0.003227,0.270638
19,e8dd0f61,스미싱,2,1,0.861935,0.468088,0.099237,0.259279,0.439803,0.206695
20,3ab8514e,스미싱,1,0,0.751340,0.771393,0.898550,0.361525,0.350489,0.198125
