message_id,split,similarity_group_id,label,target,has_url,url_count,text_length,text_probability,text_probability_oof,text_probability_meta_input,oof_fold_id,sas_meta_fit_eligible,url_probability_filled,url_probability_missing,fixed_fusion_probability,url_neutral_probability,linear_cf_probability,kcbert_probability,kcbert_calibrated_probability,kcbert_cf_probability,attack_type
msg-c3a7447e038aacfc0b56,train,sim-e43a195ac2dad1a00ad7,normal,0,0,0,61,0.11035411247920775,0.1318074408133001,0.1318074408133001,1.0,1,0.0,1,0.11035411247920775,0.16762941836517914,0.10319155092717724,,,,
msg-bc0029304fb701ec798c,train,sim-94f7f5bf1892a2df4a60,normal,0,1,1,71,0.7721292030681945,0.8152343019105159,0.8152343019105159,0.0,1,0.9999186921224511,0,0.8404660497844715,0.0962320271452482,0.16485770842740782,,,,
msg-813e545e454d84c4d75f,train,sim-0b72991715846571f6d3,normal,0,0,0,89,0.04999684534182481,0.0686937851243082,0.0686937851243082,0.0,1,0.0,1,0.04999684534182481,0.126542733521191,0.06170216354659249,,,,
msg-3378ffc63eeaaef27b5f,test,sim-0a1df0ccdfd39efc3ab1,normal,0,0,0,58,0.16215570090180845,,0.16215570090180845,,1,0.0,1,0.16215570090180845,0.2505493626860937,0.20196113535684973,0.0031057158,0.03194742497876013,0.004233577,
msg-e94fec8af385dc5ff556,train,sim-cc8bcafb7a34bd6dc27f,normal,0,0,0,48,0.12433057565929505,0.1399214700940957,0.1399214700940957,3.0,1,0.0,1,0.12433057565929505,0.18519036865285268,0.14072598020010224,,,,
msg-c2d5b5264561f4b78f9c,train,sim-b55dbc9021cfeff39e32,normal,0,0,0,54,0.11936017079809476,0.1746623665096323,0.1746623665096323,2.0,1,0.0,1,0.11936017079809476,0.17886013244327906,0.12843743884739744,,,,
msg-a49f5f749921748f3f88,train,sim-16e7bd89c8da63c708b9,normal,0,0,0,39,0.10187237054698038,0.1343681078547002,0.1343681078547002,0.0,1,0.0,1,0.10187237054698038,0.16473976444499538,0.10898246581055494,,,,
msg-e395baa51463221daebc,train,sim-099023c0564c06a15fd6,normal,0,0,0,47,0.15338644724095438,0.1720056951820135,0.1720056951820135,1.0,1,0.0,1,0.15338644724095438,0.3026342753704117,0.26525406135708857,,,,
msg-955626d514959dfe2067,validation,sim-1cfe98a3691049001226,normal,0,0,0,71,0.08115735395464596,,0.08115735395464596,,1,0.0,1,0.08115735395464596,0.13123012205996779,0.07840797570643572,0.0005712044,0.011967807638114879,0.00017443039,
msg-6ffdc99b088da3446d71,train,sim-497830840cebf3b6fa82,normal,0,0,0,90,0.12363680200573718,0.1531672285809784,0.1531672285809784,0.0,1,0.0,1,0.12363680200573718,0.18145803768142274,0.12456443621285304,,,,
msg-9fa381091726d670cecd,train,sim-8fa9fdcfbd75c3dbfafb,normal,0,0,0,88,0.08188517996836717,0.0973201871484381,0.0973201871484381,3.0,1,0.0,1,0.08188517996836717,0.13677869216405772,0.08279008419203505,,,,
msg-2fedff69b375118d71ac,validation,sim-45390a1d89b5f3d358eb,normal,0,0,0,91,0.07743437706468284,,0.07743437706468284,,1,0.0,1,0.07743437706468284,0.15370211745965173,0.08859008995369873,0.00017317223,0.005945680560092735,9.145344e-05,
msg-ae5a0d8bba080f396ff4,train,sim-efacb2c5e75b302bb9f6,normal,0,0,0,91,0.09687338294076953,0.1139464125409652,0.1139464125409652,3.0,1,0.0,1,0.09687338294076953,0.1739916974639066,0.12645751442416286,,,,
msg-b5b073bdac4587aeaea6,train,sim-1862b67420a438080f70,normal,0,0,0,48,0.12979299206643502,0.169870061902913,0.169870061902913,0.0,1,0.0,1,0.12979299206643502,0.2302580362407936,0.19538143023485582,,,,
msg-0d11f1b2d5dd7fb1934a,train,sim-ad71397a178ec8dca9fb,normal,0,0,0,77,0.0958312393703405,0.1140012044300002,0.1140012044300002,3.0,1,0.0,1,0.0958312393703405,0.15917683311770114,0.08747595332723437,,,,
msg-8d4de978440b72ca4a45,train,sim-b4c50dce2f9407bbe4c6,normal,0,0,0,52,0.12264465511092933,0.1528626635198818,0.1528626635198818,2.0,1,0.0,1,0.12264465511092933,0.22942581494268124,0.16082919787544211,,,,
msg-922ce6f29d829d66e1c6,train,sim-857dddd56cd6dd980dde,normal,0,0,0,41,0.18266577722003705,0.2191717036530928,0.2191717036530928,1.0,1,0.0,1,0.18266577722003705,0.365467574407987,0.270570751679261,,,,
msg-c848e48bf2d743c560c8,validation,sim-3f976b2baa771218f726,normal,0,0,0,67,0.13225664173149287,,0.13225664173149287,,1,0.0,1,0.13225664173149287,0.2614973572044086,0.1894335064414998,0.00037174814,0.00930838646990231,0.0001424039,
msg-a2efcb590174b6fdebb5,train,sim-8adab9fcc47a0c1e35b1,normal,0,0,0,49,0.1758452260955296,0.2059952047314186,0.2059952047314186,1.0,1,0.0,1,0.1758452260955296,0.26659308175878965,0.22717080668696882,,,,
msg-105e0d553604ca781c28,train,sim-971d812521a071583808,normal,0,0,0,47,0.09995927442396894,0.1140563763719694,0.1140563763719694,3.0,1,0.0,1,0.09995927442396894,0.16444956101554184,0.10446495322481365,,,,
msg-38b37ba561104976b8e5,train,sim-c36cc5d9c65e249474ef,normal,0,0,0,56,0.11536647172383967,0.1488906369314447,0.1488906369314447,1.0,1,0.0,1,0.11536647172383967,0.2098183303286815,0.15635564043256256,,,,
msg-e2d75f440c1eaf05de32,validation,sim-3f5bafdd2cfa44d22bf3,normal,0,1,1,51,0.33653735567514387,,0.33653735567514387,,1,0.999961909790866,0,0.5355647219098605,0.1999369972999643,0.14063473518695324,0.0041423454,0.03767532716120424,0.00019302776,
msg-f22cb41c1131c67cd134,train,sim-615457cb3fbc97b9369f,normal,0,1,1,81,0.11454833998729917,0.136950931551611,0.136950931551611,3.0,1,0.9999612122290146,0,0.3801722016598138,0.10403279886118826,0.05367446677816623,,,,
msg-91f3519762e2c4422eac,train,sim-20ce63655c93a2022324,normal,0,0,0,50,0.14822701500333446,0.1769081205674718,0.1769081205674718,1.0,1,0.0,1,0.14822701500333446,0.2545193223090319,0.20752818801920575,,,,
msg-9b3216ac98b3e2cb729d,train,sim-1fb5e57a761730dc3c73,normal,0,1,1,51,0.28147124540332363,0.3296475284455658,0.3296475284455658,0.0,1,0.9999078226298012,0,0.4970022185712669,0.2262873908298265,0.15399879719796,,,,
msg-288587b24ca70611c893,validation,sim-9a1d5089e3eaccb2f576,normal,0,0,0,38,0.1264234275544472,,0.1264234275544472,,1,0.0,1,0.1264234275544472,0.289766110938899,0.19385743608832598,0.00027815267,0.007853003148771904,0.00010242314,
msg-963560a696c2068b11aa,train,sim-39b7e4dde0104b6ddb69,normal,0,0,0,61,0.09834816950805544,0.1328466409579562,0.1328466409579562,2.0,1,0.0,1,0.09834816950805544,0.19301120565481775,0.11600134178881119,,,,
