pair_id,target_review_id,control_review_id,target_judgment,control_judgment,same_judgment,cosine_similarity
review-5d4e3193863f1946,review-5d4e3193863f1946,review-2b3f3a2d3b9504b2,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.28523150086402893
review-b354a4224eb298ed,review-b354a4224eb298ed,review-ae30eff1c5009634,risky_request_visible,promotion_without_clear_scam_request,0,0.19120776653289795
review-96be0a4e61349470,review-96be0a4e61349470,review-ed79a40573a23e85,risky_request_visible,promotion_without_clear_scam_request,0,0.1632705181837082
review-1820dec42f5ec2ca,review-1820dec42f5ec2ca,review-5bd99d54544ce7e3,risky_request_visible,promotion_without_clear_scam_request,0,0.2377668023109436
review-e447ae957587a31d,review-e447ae957587a31d,review-81db582ab9c83a7d,risky_request_visible,risky_request_visible,1,0.26993441581726074
review-f48d763f6c721c5c,review-f48d763f6c721c5c,review-ed9460d363c32a66,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.18548069894313812
review-a5c8844b07d15249,review-a5c8844b07d15249,review-7d4271562f20ae7d,risky_request_visible,promotion_without_clear_scam_request,0,0.2228916585445404
review-d17c9fec5ba94c27,review-d17c9fec5ba94c27,review-b1951ff1f4366cb0,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.16699612140655518
review-93d84a89e42aa2d2,review-93d84a89e42aa2d2,review-5a7aed2fa9914ccd,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.12326095998287201
review-4b0f3b3c6f3029e0,review-4b0f3b3c6f3029e0,review-6f695f49e7ab13e0,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.14655563235282898
review-1bee5d35c3ae9550,review-1bee5d35c3ae9550,review-7794b3bc9bc0c3a1,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.28237706422805786
review-95c15e2125e8158e,review-95c15e2125e8158e,review-e2fd25cde06b2e07,risky_request_visible,promotion_without_clear_scam_request,0,0.16497637331485748
review-d299ebb8c45a2f94,review-d299ebb8c45a2f94,review-66ef57282af71d4f,insufficient_context,ordinary_notice_or_conversation_possible,0,0.18648119270801544
review-364329807a65a090,review-364329807a65a090,review-4dee15ae26647c57,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.28355398774147034
review-014f431cdb07954a,review-014f431cdb07954a,review-f7fbd3ab7a66e194,risky_request_visible,promotion_without_clear_scam_request,0,0.5213850140571594
review-a884f7c925b47633,review-a884f7c925b47633,review-5c5069cca8a5add0,risky_request_visible,promotion_without_clear_scam_request,0,0.1780405193567276
review-ff57873bcca80e84,review-ff57873bcca80e84,review-23e4e9eb29dd8f93,insufficient_context,ordinary_notice_or_conversation_possible,0,0.29294052720069885
review-4cbabc8906c81322,review-4cbabc8906c81322,review-53cc92ecebb430c9,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.17079704999923706
review-b894aa9bff1613dc,review-b894aa9bff1613dc,review-99553665d7fa8d60,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.17371626198291779
review-92026380db179cfa,review-92026380db179cfa,review-8408e233d5c05195,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.13333666324615479
review-1e479c4a302f356c,review-1e479c4a302f356c,review-d23755346e397e0d,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.16704976558685303
review-7a761126add20b55,review-7a761126add20b55,review-a00070320560c3ff,risky_request_visible,risky_request_visible,1,0.1564629226922989
review-49a272d982158787,review-49a272d982158787,review-cfc0b12d1183e034,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.45481517910957336
review-c45238e439e91c4d,review-c45238e439e91c4d,review-131ed5d9023fe8e1,risky_request_visible,promotion_without_clear_scam_request,0,0.19893933832645416
review-cc4b16c2321274c0,review-cc4b16c2321274c0,review-30d20e067658db39,risky_request_visible,insufficient_context,0,0.13585342466831207
review-27c93b924b9803a0,review-27c93b924b9803a0,review-5192f26c12526af0,risky_request_visible,risky_request_visible,1,0.32849860191345215
review-dbbbfc8d3d158c2b,review-dbbbfc8d3d158c2b,review-2d4568421c26bf66,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.1595264971256256
review-d927fc30b0eb9634,review-d927fc30b0eb9634,review-d14a67c8f86c82a4,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.15829548239707947
review-4be490099efed608,review-4be490099efed608,review-c2b11fa0a2c3336f,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.16936928033828735
review-95b51a345d37bf9b,review-95b51a345d37bf9b,review-97eb58f77becd57e,risky_request_visible,promotion_without_clear_scam_request,0,0.1432511806488037
review-e0ac9753946feca9,review-e0ac9753946feca9,review-b7a4aa1c4b4f5a68,risky_request_visible,insufficient_context,0,0.284652441740036
review-591262c8bdf0034a,review-591262c8bdf0034a,review-d5b560692f11bda9,ordinary_notice_or_conversation_possible,ordinary_notice_or_conversation_possible,1,0.15884986519813538
review-10dcb33dda6d5472,review-10dcb33dda6d5472,review-e0a264aecc7ee1b0,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.13020867109298706
review-3aa78c267ab21f05,review-3aa78c267ab21f05,review-f0f2fce9301b3378,ordinary_notice_or_conversation_possible,ordinary_notice_or_conversation_possible,1,0.23092658817768097
review-4c45e2acc43cd09c,review-4c45e2acc43cd09c,review-5155bcd98221f6df,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.12169022113084793
review-93f251b7f415320e,review-93f251b7f415320e,review-83bf04c6b634cf0b,risky_request_visible,promotion_without_clear_scam_request,0,0.15067188441753387
review-d09099c6189f497b,review-d09099c6189f497b,review-5fad6c92922b1924,risky_request_visible,insufficient_context,0,0.45746660232543945
review-30e3bf5a7666c842,review-30e3bf5a7666c842,review-c9eb20ef749cdb80,risky_request_visible,promotion_without_clear_scam_request,0,0.1570626050233841
review-cb32573abbb83f9f,review-cb32573abbb83f9f,review-ed0223c36d93b8cb,risky_request_visible,promotion_without_clear_scam_request,0,0.12021207064390182
review-40f65d491fbb6c91,review-40f65d491fbb6c91,review-aefdc599d52d1968,risky_request_visible,risky_request_visible,1,0.22144906222820282
review-4e91758f8be8575d,review-4e91758f8be8575d,review-6925d1d5c92f5e6d,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.20540887117385864
