review_id,message_id,original_label,is_url_free_malicious,is_quarantined,heuristic_code,text_judgment,wave,note_chars,n_actions,action_payment,action_credentials,action_app,action_channel,action_callback,action_none,action_unclear
review-0056707322867f9e,msg-bfebdfbc523c88d22afe,normal,0,0,control,ordinary_notice_or_conversation_possible,1,4,1,0,0,0,0,0,1,0
review-014f431cdb07954a,msg-0c6dfbf2de170e52a942,smishing,1,0,loan_ad,risky_request_visible,1,6,1,1,0,0,0,0,0,0
review-01692c85b4c6e394,msg-86b2b582f59b8ef3cb9d,normal,0,0,control,ordinary_notice_or_conversation_possible,1,4,1,0,0,0,0,0,1,0
review-0191505287bc42c3,msg-125422950bbf2894b298,normal,0,0,control,ordinary_notice_or_conversation_possible,1,6,1,0,0,0,0,0,1,0
review-019e598ca75a2604,msg-51d91745aaf7c70cfe66,normal,0,0,control,ordinary_notice_or_conversation_possible,1,6,1,0,0,0,0,0,1,0
review-01daae558c8120c5,msg-a5fe2c7068a39a897fd5,normal,0,0,control,ordinary_notice_or_conversation_possible,1,6,1,0,0,0,0,0,1,0
review-022dede98715a30c,msg-873db1de4a30a9f5c623,normal,0,0,control,ordinary_notice_or_conversation_possible,1,6,1,0,0,0,0,0,1,0
review-0238870c30ef790e,msg-d2b85b2279d55f17aa61,smishing,1,0,messenger_phishing,risky_request_visible,1,9,1,1,0,0,0,0,0,0
review-02ed9a9204fc5c8c,msg-8af5cc4194464b481799,smishing,1,0,loan_ad,risky_request_visible,1,6,1,1,0,0,0,0,0,0
review-031c270e33784faf,msg-7b77eedddff4504d9db0,smishing,1,0,agency_impersonation,risky_request_visible,1,9,1,0,0,0,0,1,0,0
review-0364c25d14e8bb7d,msg-ba7ace3a75e45b91726c,smishing,1,0,loan_ad,risky_request_visible,1,7,1,1,0,0,0,0,0,0
review-05ba384c6ab030f1,msg-0cf1f701a15c54d26789,normal,0,0,control,ordinary_notice_or_conversation_possible,1,6,1,0,0,0,0,0,1,0
review-062650e5c03db7b3,msg-736f82ab7ef68bca67fc,smishing,1,0,messenger_phishing,risky_request_visible,1,9,1,1,0,0,0,0,0,0
review-0651a6827875d503,msg-6dcdcd189e5593455a49,smishing,1,0,loan_ad,risky_request_visible,1,6,1,1,0,0,0,0,0,0
review-06613e1d63363778,msg-bd04b75032f0dfc2ee62,normal,0,0,control,promotion_without_clear_scam_request,1,12,1,0,0,0,0,1,0,0
review-06745995f913ed5c,msg-fb9fed8f5353c19f4482,normal,0,0,control,ordinary_notice_or_conversation_possible,1,6,1,0,0,0,0,0,1,0
review-06e6ec96dd763a34,msg-3be783148c7ea591a6af,normal,0,0,control,promotion_without_clear_scam_request,1,6,1,0,0,0,0,0,1,0
review-06fe91fac978687e,msg-a83bb61726a247a6e1e1,normal,0,0,control,promotion_without_clear_scam_request,1,7,1,0,0,0,0,1,0,0
review-075ea585da5cae15,msg-7013d5e6af2e769f406d,smishing,1,0,loan_ad,risky_request_visible,1,6,1,1,0,0,0,0,0,0
review-07c0fb876beabf4b,msg-cdcf2dfc7474190999c3,smishing,1,0,payment_impersonation,promotion_without_clear_scam_request,1,6,1,0,0,0,0,1,0,0
review-0822c98e66707747,msg-29c545e52c9813e635fa,normal,0,0,control,promotion_without_clear_scam_request,1,4,1,0,0,0,0,0,1,0
review-09dc7d3fa6246119,msg-82c1c5902ccf0f6cb441,normal,0,0,control,ordinary_notice_or_conversation_possible,1,4,1,0,0,0,0,0,1,0
review-09f8a52a643bde75,msg-a190594f2bffb92ea5e6,normal,0,0,control,ordinary_notice_or_conversation_possible,1,14,1,0,0,0,0,0,1,0
review-09f9fd98d92b31c5,msg-cbb14d3ea8b4c356543b,smishing,1,0,payment_impersonation,risky_request_visible,1,6,1,0,0,0,0,1,0,0
review-0ba297695cc9a600,msg-593cd80d2ef7e33546ac,normal,0,0,control,ordinary_notice_or_conversation_possible,1,8,1,0,0,0,0,0,1,0
review-0bc7f01b43b4a4f4,msg-4d26af1bd51a813c0839,normal,0,0,control,promotion_without_clear_scam_request,1,8,1,0,0,0,0,0,1,0
review-0bf0da403c12d587,msg-b7800f4db5faf73f5f6d,smishing,1,0,loan_ad,risky_request_visible,1,6,1,1,0,0,0,0,0,0
review-0bfbacbb2760394c,msg-ccf0e6a8ef2af65aced4,smishing,1,0,loan_ad,risky_request_visible,1,6,1,1,0,0,0,0,0,0
review-0c756099e821ef26,msg-3de91ab063f18e6782bf,smishing,1,0,loan_ad,risky_request_visible,1,6,1,1,0,0,0,0,0,0
review-0ce89002b27ae13e,msg-b3850b9d024fcf99c238,normal,0,0,control,ordinary_notice_or_conversation_possible,1,8,1,0,0,0,0,0,1,0
review-0cf62fd6142f6cb4,msg-2c0ffb2240bce4f0412b,smishing,1,0,loan_ad,risky_request_visible,1,8,1,1,0,0,0,0,0,0
review-0d61809b41685d2f,msg-3056e20984e704228691,normal,0,0,control,ordinary_notice_or_conversation_possible,1,11,1,0,0,0,0,0,1,0
review-0d9dd805ae2674a4,msg-f65015ec6d6ca9ef912c,smishing,1,0,messenger_phishing,risky_request_visible,1,8,1,0,1,0,0,0,0,0
review-0ddce31c46b4331c,msg-018ff56a19f05b63f7f1,normal,0,0,control,promotion_without_clear_scam_request,1,8,1,0,0,0,0,0,1,0
review-0e3787ec2948234d,msg-f90fed3e0ba73a7afd40,smishing,1,0,loan_ad,risky_request_visible,1,8,1,1,0,0,0,0,0,0
review-0e9363ce9bcb57c2,msg-a6db8f1ba339b796c36c,smishing,1,0,messenger_phishing,risky_request_visible,1,8,1,1,0,0,0,0,0,0
review-0f5e5787e2464fe3,msg-31a602d9c77f86749c5b,smishing,1,0,loan_ad,risky_request_visible,1,8,1,1,0,0,0,0,0,0
review-0f7f12381c38278e,msg-001d594cae67fd50f532,normal,0,0,control,promotion_without_clear_scam_request,1,8,1,0,0,0,0,0,1,0
review-105735240253acfe,msg-882fdf4a57682ebb0be2,smishing,1,0,messenger_phishing,risky_request_visible,1,16,3,1,1,0,0,1,0,0
review-10dcb33dda6d5472,msg-1de8402778c0caa023de,smishing,1,0,loan_ad,risky_request_visible,1,7,1,1,0,0,0,0,0,0
review-10e329e8873017e2,msg-4d92830c608f0547ddb4,smishing,1,0,payment_impersonation,risky_request_visible,1,7,1,0,0,0,0,1,0,0
