model,variant,stage,recall
char_tfidf_lr,jamo_decomposition,before_preprocessing,0.897239
char_tfidf_lr,original,before_preprocessing,0.943252
char_tfidf_lr,space_insertion,before_preprocessing,0.915644
char_tfidf_lr,symbol_insertion,before_preprocessing,0.918712
char_tfidf_url_neutral_lr,jamo_decomposition,before_preprocessing,0.34816
char_tfidf_url_neutral_lr,original,before_preprocessing,0.92638
char_tfidf_url_neutral_lr,space_insertion,before_preprocessing,0.924847
char_tfidf_url_neutral_lr,symbol_insertion,before_preprocessing,0.886503
word_tfidf_lr,jamo_decomposition,before_preprocessing,0.915644
word_tfidf_lr,original,before_preprocessing,0.947853
word_tfidf_lr,space_insertion,before_preprocessing,0.912577
word_tfidf_lr,symbol_insertion,before_preprocessing,0.912577
char_tfidf_lr,jamo_decomposition,after_preprocessing,0.943252
char_tfidf_lr,original,after_preprocessing,0.943252
char_tfidf_lr,space_insertion,after_preprocessing,0.915644
char_tfidf_lr,symbol_insertion,after_preprocessing,0.918712
char_tfidf_url_neutral_lr,jamo_decomposition,after_preprocessing,0.92638
char_tfidf_url_neutral_lr,original,after_preprocessing,0.92638
char_tfidf_url_neutral_lr,space_insertion,after_preprocessing,0.924847
char_tfidf_url_neutral_lr,symbol_insertion,after_preprocessing,0.886503
word_tfidf_lr,jamo_decomposition,after_preprocessing,0.947853
word_tfidf_lr,original,after_preprocessing,0.947853
word_tfidf_lr,space_insertion,after_preprocessing,0.912577
word_tfidf_lr,symbol_insertion,after_preprocessing,0.912577
