message_id,split,similarity_group_id,target,row_sha256,oof_fold_id,text_probability_oof
msg-c3a7447e038aacfc0b56,train,sim-e43a195ac2dad1a00ad7,0,0d36868d486d6833c02ebf1a14d9942deadc609e206858619be10e97f2bd23ac,1,0.13180744081330012
msg-bc0029304fb701ec798c,train,sim-94f7f5bf1892a2df4a60,0,42a268c787dcfd6b7afaf96f176c9c88c3c6353b98ee2d7a2cfa8da2cadfb65b,0,0.8152343019105159
msg-813e545e454d84c4d75f,train,sim-0b72991715846571f6d3,0,966ac7ba5915c7033cbf656f311febf079d1f5b9f2725a0489349f2979be7d35,0,0.06869378512430822
msg-e94fec8af385dc5ff556,train,sim-cc8bcafb7a34bd6dc27f,0,d92dcedaea8c7114d5106924073a40852c660201aa33a9bdc4f745367b1e2e41,3,0.13992147009409572
msg-c2d5b5264561f4b78f9c,train,sim-b55dbc9021cfeff39e32,0,c31e9e68a44ec0b08e19781cce018d1bb413eb6e30d2b6c0b9bdb227e3983802,2,0.17466236650963232
msg-a49f5f749921748f3f88,train,sim-16e7bd89c8da63c708b9,0,733f08db9bce8aca24c15bf3dbc43162bfe2296f1044e9617972cb34b0b50a9a,0,0.13436810785470027
msg-e395baa51463221daebc,train,sim-099023c0564c06a15fd6,0,71b8b30188771bff501e61c4aaaef50268f2068fdb7210ad033b4f0fe4525a72,1,0.17200569518201356
msg-6ffdc99b088da3446d71,train,sim-497830840cebf3b6fa82,0,adbf0378f6049e32e661dcc02a723b2f5bb80c204b0692ddee56da19962af35c,0,0.15316722858097842
msg-9fa381091726d670cecd,train,sim-8fa9fdcfbd75c3dbfafb,0,e432efb57678a37273742c792169d3a61e9df8c7945f57940e3a2ea542c44cf9,3,0.09732018714843813
msg-ae5a0d8bba080f396ff4,train,sim-efacb2c5e75b302bb9f6,0,db29d239a8b1344d52e9b7397850169b05f982de5b04af1616482d7e892879b4,3,0.11394641254096527
msg-b5b073bdac4587aeaea6,train,sim-1862b67420a438080f70,0,ef708c6c775d3df22181e006c587f7ac234e1968f181efd1d09b156160a8117d,0,0.16987006190291307
msg-0d11f1b2d5dd7fb1934a,train,sim-ad71397a178ec8dca9fb,0,c3407015fd8bc5baa4fbd75dbd3db23b272949844b8268123ce57cab76fc7972,3,0.1140012044300002
msg-8d4de978440b72ca4a45,train,sim-b4c50dce2f9407bbe4c6,0,dc204d2f4e268454f31397c8f883ef2c3d89bd0e30b8fd3f038e394ec4944729,2,0.15286266351988181
msg-922ce6f29d829d66e1c6,train,sim-857dddd56cd6dd980dde,0,c30b11120733bf690df6a422c8b74cd2631f35006edea2e8461e485d541ea0c6,1,0.21917170365309283
msg-a2efcb590174b6fdebb5,train,sim-8adab9fcc47a0c1e35b1,0,3de907373fe42ffde553ad9c23766a81f0c4956f0855013e12693c47e81a7c12,1,0.20599520473141866
msg-105e0d553604ca781c28,train,sim-971d812521a071583808,0,5bdb7ca9f4f80862e2b6bf2335db15a61acb68cf1b4f2dc53a94b71ee9631f08,3,0.11405637637196944
msg-38b37ba561104976b8e5,train,sim-c36cc5d9c65e249474ef,0,8430946c95dd6f7e677468b5b4ff72b8b89382b43c3fabdb910151b103df5e7a,1,0.14889063693144475
msg-f22cb41c1131c67cd134,train,sim-615457cb3fbc97b9369f,0,db2b3a1de5ecbfb91f3d8ebf225b4051b5f278c3cf6da3ca5ee64622c2349055,3,0.13695093155161103
msg-91f3519762e2c4422eac,train,sim-20ce63655c93a2022324,0,bd9301143e655b3caa548398ec8e0ab934630c0a92262bea116a7e7eb8f651a5,1,0.1769081205674718
msg-9b3216ac98b3e2cb729d,train,sim-1fb5e57a761730dc3c73,0,9d583799e3b2737648ea353d0996a2c084750f3bf5a61f9c6feafe33db093bfe,0,0.32964752844556583
msg-963560a696c2068b11aa,train,sim-39b7e4dde0104b6ddb69,0,3840e09a64f1f6b26e2ebf33eb5fcce45aede065e8a2203378c492a7618d3e1a,2,0.1328466409579562
msg-a67739cacf95ee18716c,train,sim-bdc359ca7a54db3b1733,0,dfaaf9a80869f3992d1d77392b550cd03f80a899db44837488c4791f2b189821,0,0.21036103897737174
msg-879b8233c4a44252fb2e,train,sim-66a9257f61434632991d,0,cfe8f7aa2725e270e3b65aa3bf3784b3dba53d8e58e433361ab50f09e409483e,4,0.147051485600314
msg-b6516141eea563e03f12,train,sim-50b8ff85b5e1555b3d13,0,63d167328c1c384cc96e4e80077ca5a942f477950767e6b34ee10007b3bcec74,1,0.48348225210985873
msg-632a5d7cfa1a3f8ab9ac,train,sim-3fdd0e52d95004ce6f10,0,9dd8468e53be90868fc60cd74064d49ac1197497074d3148991539282aff9982,3,0.361941788093661
msg-d59b022adc02558172ee,train,sim-b14b5d1d29ddbd5fc7b1,0,318f8038da7325c916995281890fac9426335ec8e73dbb913c943d6c6e0d5654,2,0.14408976871538656
msg-3a37aa9a4311299e0983,train,sim-7cef92ba71d0d9614e3f,0,a35bec0101af8e2b847b20deb53f5ec43ff6f61176e1b89b8b37a5c52bf02204,1,0.40243668184772996
msg-d49bc2342f2e69a3baa5,train,sim-7cdbc9e44e07fad68a73,0,6ee93ad4832d781f46abd88b25794b8fe8338c4a7d57cca41b5d87049e1d3dd2,2,0.1749270956797653
msg-c4f7116cd28d2c75a781,train,sim-6c3f6e6ceb82d937d586,0,020ea606cc274dc2567dd502b7980eb5ba43db82b466ee933496c2559ec4e34d,2,0.6992815052774383
msg-4a82800aa012be467086,train,sim-c2bf18db290a75d1a3e7,0,b39a608289793e45f0f76ac81bcaad2aa9c822a1f0a4a2e9cfa2d03762ed5cf9,2,0.18805740102783233
msg-523d153850bac68f2252,train,sim-547540653d1e7f21eedd,0,f8cc376f94e3ccf1d8a0df5997a45e9bcb9e4a2a6b446ebc4cd324f7f652523d,3,0.3771063048236069
msg-18c2c8f93f103cd63104,train,sim-c2bcfd8e129d18b59aa3,0,364474a77eaef3ed71981a05ef69ea9f21ef1dbc2528701458e0bd4ee3db32be,3,0.13392705191855692
msg-07bc9539f044ca407958,train,sim-3ed77cc38dbc4d5c2c4d,0,7e1455ece34f4bddb8e69591d737a1eb314ef498beba056a2faed74e4f06f52f,1,0.289047958698613
msg-c7b7a42630bcb07bdb64,train,sim-ccb2d38b753627101584,0,c66c9810774bf2b5ce81a60a4aa4c46404fd3b5c4559321ade9cb09f38352c63,0,0.16700197170029132
msg-d14875399f6aeb88d3fd,train,sim-6ac2ef7c0727586c8237,0,84afb0a907acfc8e1551db8468086024bbd8cb74a7066d1507cc2908fc6ac910,1,0.150866752320175
msg-6d20b2686c6140409c7c,train,sim-8692f8c2b8b349e9ca35,0,76c9c021b08c39ff8cbee81d50070a62761f37898d4ac551410587441a342a59,0,0.1356152075605481
msg-212f4e3eb4bd796a7b82,train,sim-654c04bd0dd563c7f642,0,9ad0c0986ec03969c93a247d5277d42d289c94df699de120c9904a49746917d4,2,0.12607776064039758
msg-11a11ead525c10773457,train,sim-c8cc98d9fcb20539d8b5,0,5b70808c62d36e45ed291e28be80c38b4a04cc5b1a02d8b8e7c3551e40ba6c57,1,0.8099358877705682
msg-168706cc9aaa2ee44f65,train,sim-8b09ef9c6bb53a35e4e8,0,292c821ed877d0fa1d3acdf82a8893208de8a77dc8e97f3857c9c1a045a8b5b0,3,0.3759763523020029
msg-87f640e3679144aff3e5,train,sim-1cca4e8045327df79ba6,0,600ae1eb24cfdc4b06e385602b926422fd70df1455563df0992b39fb8eca4dc7,3,0.2668695424212202
msg-ca141a713e5b8a3b8417,train,sim-e635ff85dae654c66ac8,0,4ae354778af88322321ac0ea7848e070f955c53f7645f189f8374e565b8e07bd,1,0.13239991883642618
msg-25f12a8e0e2d10c245e0,train,sim-47096f5215289851be56,0,dc7ea313e23cb7f184345c6ee90d888586f8ad1f27d41523cf90b2fdcb3890ed,2,0.19375450119254767
msg-76ea500b769d004670c6,train,sim-3bca57fc791184777e87,0,691bccbdb8f4d856dd2855dd6be3526b287c0335f871fabdbd48e674f1b7a696,1,0.10584950225738854
msg-171c4288e43e466f5427,train,sim-68fccafd9f096939e585,0,10a25ce72c511b2ab7563eef4529ebe2141ef57afb12237bde49a6419a9a9b61,1,0.2805426656758081
msg-0e0c128c8c77ce375dea,train,sim-1006f7f9fd9c8d62ec71,0,faf90e986793ddf7c82ac541d657b0ae4f5ae5b5684bad3c1e83e4d7de9864b5,1,0.5493594185409777
msg-85622c4eca3d377bd3c1,train,sim-f7426a0b4d89765a1d7e,0,1008b80b22b93bfb372ff7f04f16fa224423ae1dc62b1c8cdb41ac628504d833,2,0.4053109397416592
msg-b61ea1e1938f1311b774,train,sim-4ab26caceee141022ff3,0,c9acabee395e0a4066e8110c46f3ad2a2882bfc6be836f6befc23efb602f4a9d,2,0.1660277237398653
