review_id,a_category,b_category,final_category,a_action_mask,b_action_mask,resolution_source
review-0056707322867f9e,2,2,2,16,16,auto_agreement_not_human_adjudication
review-014f431cdb07954a,1,1,1,32,4,adjudication
review-01692c85b4c6e394,2,2,2,16,16,auto_agreement_not_human_adjudication
review-0191505287bc42c3,2,2,2,16,16,auto_agreement_not_human_adjudication
review-019e598ca75a2604,2,2,2,16,16,auto_agreement_not_human_adjudication
review-01daae558c8120c5,2,2,2,16,16,auto_agreement_not_human_adjudication
review-022dede98715a30c,2,2,2,16,16,auto_agreement_not_human_adjudication
review-0238870c30ef790e,1,1,1,32,32,auto_agreement_not_human_adjudication
review-02ed9a9204fc5c8c,1,1,1,32,32,auto_agreement_not_human_adjudication
review-031c270e33784faf,1,4,1,2,64,adjudication
review-0364c25d14e8bb7d,1,1,1,32,34,adjudication
review-05ba384c6ab030f1,2,2,2,16,16,auto_agreement_not_human_adjudication
review-062650e5c03db7b3,1,1,1,32,32,auto_agreement_not_human_adjudication
review-0651a6827875d503,1,1,1,32,34,adjudication
review-06613e1d63363778,3,2,2,2,32,adjudication
review-06745995f913ed5c,2,2,2,16,16,auto_agreement_not_human_adjudication
review-06e6ec96dd763a34,3,3,3,16,16,auto_agreement_not_human_adjudication
review-06fe91fac978687e,3,2,2,2,16,adjudication
review-075ea585da5cae15,1,1,1,32,34,adjudication
review-07c0fb876beabf4b,3,2,2,2,32,adjudication
review-0822c98e66707747,3,3,3,16,16,auto_agreement_not_human_adjudication
review-09dc7d3fa6246119,2,2,2,16,16,auto_agreement_not_human_adjudication
review-09f8a52a643bde75,2,2,2,16,2,adjudication
review-09f9fd98d92b31c5,1,2,2,2,32,adjudication
review-0ba297695cc9a600,2,2,2,16,16,auto_agreement_not_human_adjudication
review-0bc7f01b43b4a4f4,3,3,3,16,16,auto_agreement_not_human_adjudication
review-0bf0da403c12d587,1,1,1,32,34,adjudication
review-0bfbacbb2760394c,1,1,1,32,2,adjudication
review-0c756099e821ef26,1,1,1,32,32,auto_agreement_not_human_adjudication
review-0ce89002b27ae13e,2,2,2,16,16,auto_agreement_not_human_adjudication
review-0cf62fd6142f6cb4,1,1,1,32,34,adjudication
review-0d61809b41685d2f,2,2,2,16,16,auto_agreement_not_human_adjudication
review-0d9dd805ae2674a4,1,1,1,8,8,auto_agreement_not_human_adjudication
review-0ddce31c46b4331c,3,3,3,16,16,auto_agreement_not_human_adjudication
review-0e3787ec2948234d,1,1,1,32,34,adjudication
review-0e9363ce9bcb57c2,1,1,1,32,32,auto_agreement_not_human_adjudication
review-0f5e5787e2464fe3,1,1,1,32,32,auto_agreement_not_human_adjudication
review-0f7f12381c38278e,3,3,3,16,16,auto_agreement_not_human_adjudication
review-105735240253acfe,1,4,1,42,2,adjudication
review-10dcb33dda6d5472,1,1,1,32,34,adjudication
review-10e329e8873017e2,1,2,1,2,40,adjudication
review-10f0da95f3fdd21e,2,2,2,16,16,auto_agreement_not_human_adjudication
review-127bc1671c3021e3,1,2,1,2,32,adjudication
review-12aedba2ef212671,1,1,1,34,34,auto_agreement_not_human_adjudication
review-131ed5d9023fe8e1,3,3,3,16,16,auto_agreement_not_human_adjudication
review-137a8d7cde64d50f,2,2,2,16,16,auto_agreement_not_human_adjudication
review-13ce66de75a8d3fc,1,1,1,34,34,auto_agreement_not_human_adjudication
review-13e7350b6f9c843d,1,1,1,6,2,adjudication
review-143e404949a72860,1,1,1,34,34,auto_agreement_not_human_adjudication
review-1502532d7fb02e2b,1,2,1,2,32,adjudication
