cohort,seed,condition,n,tp,tn,fp,fn,baseline_tp,baseline_tn,baseline_fp,baseline_fn,corrected_fp,corrected_fn,new_fp,new_fn,threshold,recall,fpr
kisa_unique,42,original128,22,13,0,0,9,13,0,0,9,0,0,0,0,0.025057008489966393,0.59090909090909094,
kisa_unique,42,ocr_delete128,22,13,0,0,9,13,0,0,9,0,0,0,0,0.025057008489966393,0.59090909090909094,
kisa_unique,42,cap300,22,13,0,0,9,13,0,0,9,0,0,0,0,0.025057008489966393,0.59090909090909094,
kisa_unique,42,ocr_delete300,22,14,0,0,8,13,0,0,9,0,1,0,0,0.025057008489966393,0.63636363636363635,
kisa_unique,42,ocr_unk128,22,13,0,0,9,13,0,0,9,0,0,0,0,0.025057008489966393,0.59090909090909094,
kisa_unique,42,ocr_unk300,22,16,0,0,6,13,0,0,9,0,3,0,0,0.025057008489966393,0.72727272727272729,
kisa_unique,42,head_tail128,22,13,0,0,9,13,0,0,9,0,0,0,0,0.025057008489966393,0.59090909090909094,
kisa_unique,101,original128,22,13,0,0,9,13,0,0,9,0,0,0,0,0.060474295169115067,0.59090909090909094,
kisa_unique,101,ocr_delete128,22,13,0,0,9,13,0,0,9,0,0,0,0,0.060474295169115067,0.59090909090909094,
kisa_unique,101,cap300,22,13,0,0,9,13,0,0,9,0,0,0,0,0.060474295169115067,0.59090909090909094,
kisa_unique,101,ocr_delete300,22,13,0,0,9,13,0,0,9,0,0,0,0,0.060474295169115067,0.59090909090909094,
kisa_unique,101,ocr_unk128,22,13,0,0,9,13,0,0,9,0,0,0,0,0.060474295169115067,0.59090909090909094,
kisa_unique,101,ocr_unk300,22,13,0,0,9,13,0,0,9,0,0,0,0,0.060474295169115067,0.59090909090909094,
kisa_unique,101,head_tail128,22,13,0,0,9,13,0,0,9,0,0,0,0,0.060474295169115067,0.59090909090909094,
kisa_unique,202,original128,22,13,0,0,9,13,0,0,9,0,0,0,0,0.98577636480331421,0.59090909090909094,
kisa_unique,202,ocr_delete128,22,13,0,0,9,13,0,0,9,0,0,0,0,0.98577636480331421,0.59090909090909094,
kisa_unique,202,cap300,22,14,0,0,8,13,0,0,9,0,1,0,0,0.98577636480331421,0.63636363636363635,
kisa_unique,202,ocr_delete300,22,13,0,0,9,13,0,0,9,0,0,0,0,0.98577636480331421,0.59090909090909094,
kisa_unique,202,ocr_unk128,22,13,0,0,9,13,0,0,9,0,0,0,0,0.98577636480331421,0.59090909090909094,
kisa_unique,202,ocr_unk300,22,15,0,0,7,13,0,0,9,0,2,0,0,0.98577636480331421,0.68181818181818177,
kisa_unique,202,head_tail128,22,13,0,0,9,13,0,0,9,0,0,0,0,0.98577636480331421,0.59090909090909094,
kisa_unique,303,original128,22,13,0,0,9,13,0,0,9,0,0,0,0,0.022119643166661263,0.59090909090909094,
kisa_unique,303,ocr_delete128,22,13,0,0,9,13,0,0,9,0,0,0,0,0.022119643166661263,0.59090909090909094,
kisa_unique,303,cap300,22,14,0,0,8,13,0,0,9,0,1,0,0,0.022119643166661263,0.63636363636363635,
kisa_unique,303,ocr_delete300,22,14,0,0,8,13,0,0,9,0,1,0,0,0.022119643166661263,0.63636363636363635,
kisa_unique,303,ocr_unk128,22,13,0,0,9,13,0,0,9,0,0,0,0,0.022119643166661263,0.59090909090909094,
kisa_unique,303,ocr_unk300,22,15,0,0,7,13,0,0,9,0,2,0,0,0.022119643166661263,0.68181818181818177,
kisa_unique,303,head_tail128,22,13,0,0,9,13,0,0,9,0,0,0,0,0.022119643166661263,0.59090909090909094,
kisa_unique,404,original128,22,13,0,0,9,13,0,0,9,0,0,0,0,0.026118576526641846,0.59090909090909094,
kisa_unique,404,ocr_delete128,22,13,0,0,9,13,0,0,9,0,0,0,0,0.026118576526641846,0.59090909090909094,
kisa_unique,404,cap300,22,13,0,0,9,13,0,0,9,0,0,0,0,0.026118576526641846,0.59090909090909094,
kisa_unique,404,ocr_delete300,22,13,0,0,9,13,0,0,9,0,0,0,0,0.026118576526641846,0.59090909090909094,
kisa_unique,404,ocr_unk128,22,13,0,0,9,13,0,0,9,0,0,0,0,0.026118576526641846,0.59090909090909094,
