seed,cohort,n,b_tp,b_tn,b_fp,b_fn,j_tp,j_tn,j_fp,j_fn,j_abstain_pos,j_abstain_neg,t_corrected_fp,t_corrected_fn,t_new_fp,t_new_fn,t_persistent_fp,t_persistent_fn,t_abstain_from_error,t_abstain_from_correct,t_retained_correct,g_review_count,g_caught_error,g_missed_error,g_unnecessary_review
42,all,88,44,28,8,8,2,36,0,49,1,0,8,0,0,41,0,8,0,1,30,50,8,8,42
42,error_union,44,22,6,8,8,1,14,0,28,1,0,8,0,0,20,0,8,0,1,7,29,8,8,21
42,correct_controls,44,22,22,0,0,1,22,0,21,0,0,0,0,0,21,0,0,0,0,23,21,0,0,21
101,all,88,42,29,7,10,2,36,0,49,1,0,7,0,0,39,0,10,0,1,31,47,7,10,40
101,error_union,44,20,7,7,10,1,14,0,28,1,0,7,0,0,18,0,10,0,1,8,26,7,10,19
101,correct_controls,44,22,22,0,0,1,22,0,21,0,0,0,0,0,21,0,0,0,0,23,21,0,0,21
202,all,88,35,32,4,17,2,36,0,49,1,0,4,1,0,33,0,16,0,1,33,39,5,16,34
202,error_union,44,13,10,4,17,1,14,0,28,1,0,4,1,0,12,0,16,0,1,10,18,5,16,13
202,correct_controls,44,22,22,0,0,1,22,0,21,0,0,0,0,0,21,0,0,0,0,23,21,0,0,21
303,all,88,36,27,9,16,2,36,0,49,1,0,9,0,0,33,0,16,0,1,29,43,9,16,34
303,error_union,44,14,5,9,16,1,14,0,28,1,0,9,0,0,12,0,16,0,1,6,22,9,16,13
303,correct_controls,44,22,22,0,0,1,22,0,21,0,0,0,0,0,21,0,0,0,0,23,21,0,0,21
404,all,88,42,27,9,10,2,36,0,49,1,0,9,0,0,39,0,10,0,1,29,49,9,10,40
404,error_union,44,20,5,9,10,1,14,0,28,1,0,9,0,0,18,0,10,0,1,6,28,9,10,19
404,correct_controls,44,22,22,0,0,1,22,0,21,0,0,0,0,0,21,0,0,0,0,23,21,0,0,21
