cohort,condition,seed,n,tp,tn,fp,fn,baseline_tp,baseline_tn,baseline_fp,baseline_fn,corrected_fp,corrected_fn,new_fp,new_fn,threshold,recall,fpr
kisa_representatives,cap300,42,18,9,0,0,9,9,0,0,9,0,0,0,0,0.0250570085,0.5,
kisa_representatives,head_tail128,42,18,9,0,0,9,9,0,0,9,0,0,0,0,0.0250570085,0.5,
kisa_representatives,ocr_delete128,42,18,9,0,0,9,9,0,0,9,0,0,0,0,0.0250570085,0.5,
kisa_representatives,ocr_delete300,42,18,10,0,0,8,9,0,0,9,0,1,0,0,0.0250570085,0.5555555556,
kisa_representatives,ocr_unk128,42,18,9,0,0,9,9,0,0,9,0,0,0,0,0.0250570085,0.5,
kisa_representatives,ocr_unk300,42,18,12,0,0,6,9,0,0,9,0,3,0,0,0.0250570085,0.6666666667,
kisa_representatives,original128,42,18,9,0,0,9,9,0,0,9,0,0,0,0,0.0250570085,0.5,
kisa_representatives,cap300,101,18,9,0,0,9,9,0,0,9,0,0,0,0,0.0604742952,0.5,
kisa_representatives,head_tail128,101,18,9,0,0,9,9,0,0,9,0,0,0,0,0.0604742952,0.5,
kisa_representatives,ocr_delete128,101,18,9,0,0,9,9,0,0,9,0,0,0,0,0.0604742952,0.5,
kisa_representatives,ocr_delete300,101,18,9,0,0,9,9,0,0,9,0,0,0,0,0.0604742952,0.5,
kisa_representatives,ocr_unk128,101,18,9,0,0,9,9,0,0,9,0,0,0,0,0.0604742952,0.5,
kisa_representatives,ocr_unk300,101,18,9,0,0,9,9,0,0,9,0,0,0,0,0.0604742952,0.5,
kisa_representatives,original128,101,18,9,0,0,9,9,0,0,9,0,0,0,0,0.0604742952,0.5,
kisa_representatives,cap300,202,18,10,0,0,8,9,0,0,9,0,1,0,0,0.9857763648,0.5555555556,
kisa_representatives,head_tail128,202,18,9,0,0,9,9,0,0,9,0,0,0,0,0.9857763648,0.5,
kisa_representatives,ocr_delete128,202,18,9,0,0,9,9,0,0,9,0,0,0,0,0.9857763648,0.5,
kisa_representatives,ocr_delete300,202,18,9,0,0,9,9,0,0,9,0,0,0,0,0.9857763648,0.5,
kisa_representatives,ocr_unk128,202,18,9,0,0,9,9,0,0,9,0,0,0,0,0.9857763648,0.5,
kisa_representatives,ocr_unk300,202,18,11,0,0,7,9,0,0,9,0,2,0,0,0.9857763648,0.6111111111,
kisa_representatives,original128,202,18,9,0,0,9,9,0,0,9,0,0,0,0,0.9857763648,0.5,
kisa_representatives,cap300,303,18,10,0,0,8,9,0,0,9,0,1,0,0,0.0221196432,0.5555555556,
kisa_representatives,head_tail128,303,18,9,0,0,9,9,0,0,9,0,0,0,0,0.0221196432,0.5,
kisa_representatives,ocr_delete128,303,18,9,0,0,9,9,0,0,9,0,0,0,0,0.0221196432,0.5,
kisa_representatives,ocr_delete300,303,18,10,0,0,8,9,0,0,9,0,1,0,0,0.0221196432,0.5555555556,
kisa_representatives,ocr_unk128,303,18,9,0,0,9,9,0,0,9,0,0,0,0,0.0221196432,0.5,
kisa_representatives,ocr_unk300,303,18,11,0,0,7,9,0,0,9,0,2,0,0,0.0221196432,0.6111111111,
kisa_representatives,original128,303,18,9,0,0,9,9,0,0,9,0,0,0,0,0.0221196432,0.5,
kisa_representatives,cap300,404,18,9,0,0,9,9,0,0,9,0,0,0,0,0.0261185765,0.5,
kisa_representatives,head_tail128,404,18,9,0,0,9,9,0,0,9,0,0,0,0,0.0261185765,0.5,
kisa_representatives,ocr_delete128,404,18,9,0,0,9,9,0,0,9,0,0,0,0,0.0261185765,0.5,
kisa_representatives,ocr_delete300,404,18,9,0,0,9,9,0,0,9,0,0,0,0,0.0261185765,0.5,
kisa_representatives,ocr_unk128,404,18,9,0,0,9,9,0,0,9,0,0,0,0,0.0261185765,0.5,
kisa_representatives,ocr_unk300,404,18,9,0,0,9,9,0,0,9,0,0,0,0,0.0261185765,0.5,
kisa_representatives,original128,404,18,9,0,0,9,9,0,0,9,0,0,0,0,0.0261185765,0.5,
kisa_unique,cap300,42,22,13,0,0,9,13,0,0,9,0,0,0,0,0.0250570085,0.5909090909,
kisa_unique,head_tail128,42,22,13,0,0,9,13,0,0,9,0,0,0,0,0.0250570085,0.5909090909,
kisa_unique,ocr_delete128,42,22,13,0,0,9,13,0,0,9,0,0,0,0,0.0250570085,0.5909090909,
kisa_unique,ocr_delete300,42,22,14,0,0,8,13,0,0,9,0,1,0,0,0.0250570085,0.6363636364,
kisa_unique,ocr_unk128,42,22,13,0,0,9,13,0,0,9,0,0,0,0,0.0250570085,0.5909090909,
kisa_unique,ocr_unk300,42,22,16,0,0,6,13,0,0,9,0,3,0,0,0.0250570085,0.7272727273,
kisa_unique,original128,42,22,13,0,0,9,13,0,0,9,0,0,0,0,0.0250570085,0.5909090909,
kisa_unique,cap300,101,22,13,0,0,9,13,0,0,9,0,0,0,0,0.0604742952,0.5909090909,
kisa_unique,head_tail128,101,22,13,0,0,9,13,0,0,9,0,0,0,0,0.0604742952,0.5909090909,
kisa_unique,ocr_delete128,101,22,13,0,0,9,13,0,0,9,0,0,0,0,0.0604742952,0.5909090909,
kisa_unique,ocr_delete300,101,22,13,0,0,9,13,0,0,9,0,0,0,0,0.0604742952,0.5909090909,
kisa_unique,ocr_unk128,101,22,13,0,0,9,13,0,0,9,0,0,0,0,0.0604742952,0.5909090909,
kisa_unique,ocr_unk300,101,22,13,0,0,9,13,0,0,9,0,0,0,0,0.0604742952,0.5909090909,
kisa_unique,original128,101,22,13,0,0,9,13,0,0,9,0,0,0,0,0.0604742952,0.5909090909,
