feature_category,feature_value,n_total,n_normal,n_smishing,dup_avg_fp,dup_avg_fn,dup_fpr,dup_fnr,base_avg_fp,base_avg_fn,flip_avg_fp,flip_avg_fn
len_bucket,< 30,658,648,10,1.20,1.00,0.001852,0.100000,0.80,1.00,1.20,0.20
len_bucket,30-59,966,446,520,3.00,2.80,0.006726,0.005385,2.80,3.00,2.60,4.60
len_bucket,60-99,105,82,23,0.60,0.40,0.007317,0.017391,1.00,0.40,0.60,0.00
len_bucket,100-149,57,42,15,0.00,0.00,0.000000,0.000000,0.00,0.00,0.00,0.60
len_bucket,>= 150,531,447,84,2.60,9.60,0.005817,0.114286,5.40,9.80,3.20,10.60
has_url,0,1421,1367,54,1.40,3.60,0.001024,0.066667,3.00,3.00,1.20,2.60
has_url,1,896,298,598,6.00,10.20,0.020134,0.017057,7.00,11.20,6.40,13.40
url_marker,0,1421,1367,54,1.40,3.60,0.001024,0.066667,3.00,3.00,1.20,2.60
url_marker,1,896,298,598,6.00,10.20,0.020134,0.017057,7.00,11.20,6.40,13.40
bare_ip,0,2316,1665,651,7.40,12.80,0.004444,0.019662,10.00,13.20,7.60,15.80
bare_ip,1,1,0,1,0.00,1.00,,1.000000,0.00,1.00,0.00,0.20
phone_marker,0,1970,1404,566,4.80,6.20,0.003419,0.010954,6.60,8.00,4.80,7.80
phone_marker,1,347,261,86,2.60,7.60,0.009962,0.088372,3.40,6.20,2.80,8.20
institution_notice_marker,0,2039,1601,438,7.00,8.40,0.004372,0.019178,8.80,8.40,7.00,10.40
institution_notice_marker,1,278,64,214,0.40,5.40,0.006250,0.025234,1.20,5.80,0.60,5.60
urgency_marker,0,2235,1655,580,7.40,13.40,0.004471,0.023103,9.60,13.60,7.20,15.00
urgency_marker,1,82,10,72,0.00,0.40,0.000000,0.005556,0.40,0.60,0.40,1.00
