arm,error_type,vote_count,count_messages,total_error_events,pct_of_unique_errors,pct_of_class
BASE,FP,1,10,10,41.67,0.6006
BASE,FP,2,7,14,29.17,0.4204
BASE,FP,3,3,9,12.50,0.1802
BASE,FP,4,3,12,12.50,0.1802
BASE,FP,5,1,5,4.17,0.0601
BASE,FN,1,18,18,54.55,2.7607
BASE,FN,2,6,12,18.18,0.9202
BASE,FN,3,2,6,6.06,0.3067
BASE,FN,4,0,0,0.00,0.0000
BASE,FN,5,7,35,21.21,1.0736
DUP,FP,1,5,5,35.71,0.3003
DUP,FP,2,4,8,28.57,0.2402
DUP,FP,3,0,0,0.00,0.0000
DUP,FP,4,1,4,7.14,0.0601
DUP,FP,5,4,20,28.57,0.2402
DUP,FN,1,15,15,50.00,2.3006
DUP,FN,2,6,12,20.00,0.9202
DUP,FN,3,1,3,3.33,0.1534
DUP,FN,4,1,4,3.33,0.1534
DUP,FN,5,7,35,23.33,1.0736
FLIP,FP,1,5,5,33.33,0.3003
FLIP,FP,2,4,8,26.67,0.2402
FLIP,FP,3,1,3,6.67,0.0601
FLIP,FP,4,3,12,20.00,0.1802
FLIP,FP,5,2,10,13.33,0.1201
FLIP,FN,1,18,18,51.43,2.7607
FLIP,FN,2,4,8,11.43,0.6135
FLIP,FN,3,5,15,14.29,0.7669
FLIP,FN,4,1,4,2.86,0.1534
FLIP,FN,5,7,35,20.00,1.0736
