category_id,category_name,parent_id,depth,is_active
1,의류,,1,1
2,남성의류,1.0,2,1
3,남성 상의,2.0,3,1
4,남성 하의,2.0,3,1
5,남성 아우터,2.0,3,1
6,여성의류,1.0,2,1
7,여성 상의,6.0,3,1
8,여성 하의,6.0,3,1
9,여성 원피스,6.0,3,1
10,아동의류,1.0,2,1
11,아동 상의,10.0,3,1
12,아동 하의,10.0,3,1
13,전자제품,,1,1
14,모바일,13.0,2,1
15,스마트폰,14.0,3,1
16,태블릿,14.0,3,1
17,웨어러블,14.0,3,1
18,컴퓨터,13.0,2,1
19,노트북,18.0,3,1
20,데스크탑,18.0,3,1
21,PC 주변기기,18.0,3,1
22,가전,13.0,2,1
23,주방가전,22.0,3,1
24,생활가전,22.0,3,1
25,영상가전,22.0,3,1
26,식품,,1,1
27,신선식품,26.0,2,1
28,과일,27.0,3,1
29,채소,27.0,3,1
30,정육,27.0,3,1
31,가공식품,26.0,2,1
32,간편식,31.0,3,1
33,과자,31.0,3,1
34,통조림,31.0,3,1
35,음료,26.0,2,1
36,커피,35.0,3,1
37,차,35.0,3,1
38,생수,35.0,3,1
39,생활용품,,1,1
40,주방용품,39.0,2,1
41,조리도구,40.0,3,1
42,식기,40.0,3,1
43,욕실용품,39.0,2,1
44,세면용품,43.0,3,1
45,수건,43.0,3,1
46,청소용품,39.0,2,1
47,청소도구,46.0,3,1
48,세제,46.0,3,1
49,도서,,1,1
50,문학,49.0,2,1
51,소설,50.0,3,1
52,시 에세이,50.0,3,1
53,실용서,49.0,2,1
54,자기계발,53.0,3,1
55,요리 취미,53.0,3,1
56,학습서,49.0,2,1
57,외국어,56.0,3,1
58,자격증,56.0,3,1
59,뷰티,,1,1
60,스킨케어,59.0,2,1
61,스킨 토너,60.0,3,1
62,크림 로션,60.0,3,1
63,메이크업,59.0,2,1
64,베이스,63.0,3,1
65,립 아이,63.0,3,1
