item_id,order_id,product_id,quantity,unit_price,item_discount,line_total
1,1,1467,2,10600,0,21200
2,2,152,4,2200,600,8200
3,2,1372,2,14800,0,29600
4,2,1916,1,18500,2100,16400
5,2,1358,2,7300,1300,13300
6,3,1577,4,87000,54200,293800
7,3,14,2,3100,0,6200
8,3,1785,4,19000,0,76000
9,3,1119,3,16600,0,49800
10,3,1135,2,6000,900,11100
11,4,936,3,1900,0,5700
12,4,1808,3,14300,0,42900
13,4,205,3,22700,0,68100
14,4,1623,3,381800,0,1145400
15,4,1431,4,14700,6400,52400
16,5,649,4,40400,0,161600
17,6,1131,2,22100,5600,38600
18,6,26,2,2800,0,5600
19,7,46,2,5600,0,11200
20,8,1254,2,30000,0,60000
21,8,1918,3,63000,0,189000
22,9,883,3,4200,1800,10800
23,10,946,4,6500,0,26000
24,10,859,1,5900,0,5900
25,10,1724,4,34600,20000,118400
26,10,120,2,30100,0,60200
27,10,1541,1,181100,11600,169500
28,11,1002,4,30100,0,120400
29,11,1461,3,8600,0,25800
30,12,301,2,21300,4600,38000
31,13,1271,4,54800,0,219200
32,13,1584,3,278900,0,836700
33,14,1728,4,3100,0,12400
34,15,1458,3,29400,0,88200
35,15,887,1,867800,0,867800
36,16,193,2,123800,0,247600
37,17,53,3,31500,0,94500
38,18,1726,1,3400,0,3400
39,18,998,4,17300,0,69200
40,18,1732,4,10500,4800,37200
41,18,150,4,18300,0,73200
42,18,915,1,19900,0,19900
43,19,79,2,12600,2300,22900
44,19,1077,4,18800,0,75200
45,19,824,2,173500,0,347000
46,19,1957,2,3600,0,7200
47,20,1723,3,14200,0,42600
48,21,1596,1,24100,0,24100
49,21,1742,2,327500,0,655000
50,21,353,2,3700,0,7400
51,21,815,3,21700,9500,55600
52,22,1754,1,44400,6800,37600
53,22,863,1,2700,0,2700
54,22,1928,3,14000,0,42000
55,22,562,1,2200,0,2200
56,23,254,2,4700,0,9400
57,24,1045,4,5400,2800,18800
58,24,1090,3,9100,0,27300
59,24,903,1,38300,0,38300
60,24,748,4,357700,0,1430800
61,24,620,1,48800,0,48800
62,24,1896,2,13600,3400,23800
63,24,1387,1,427400,0,427400
64,25,788,4,24700,0,98800
65,26,409,1,12600,1300,11300
66,26,1648,3,12600,5000,32800
67,26,847,4,43500,0,174000
68,26,1861,3,30300,0,90900
69,26,1635,3,311800,80300,855100
70,27,1752,2,1600,0,3200
71,27,156,3,2500,0,7500
72,27,845,4,20900,0,83600
73,28,486,1,1400,0,1400
74,29,1635,4,298700,81200,1113600
75,29,1899,2,28700,9900,47500
76,29,1622,4,24100,7000,89400
77,29,780,4,10700,0,42800
78,29,1429,3,36300,15600,93300
79,29,456,4,14300,0,57200
80,30,477,4,20900,0,83600
81,31,1456,3,5300,0,15900
82,31,741,3,45100,0,135300
83,31,1496,2,26100,0,52200
84,31,540,4,14500,5100,52900
85,31,420,1,22900,0,22900
86,32,235,2,8100,1800,14400
87,32,241,1,5200,0,5200
88,32,1274,2,44000,0,88000
89,32,1408,1,17200,0,17200
90,33,510,4,3300,2200,11000
91,33,1490,3,97900,0,293700
92,33,676,3,19000,0,57000
93,33,432,1,1400,0,1400
94,34,561,3,17500,6400,46100
95,34,1156,2,293800,47400,540200
96,35,112,2,9800,0,19600
97,35,1849,2,10200,3100,17300
98,35,1561,1,9500,1000,8500
99,35,1093,3,50600,0,151800
100,35,1614,3,55900,22100,145600
101,36,1474,1,17000,0,17000
102,36,545,1,2700,0,2700
103,36,1082,4,15500,0,62000
104,37,642,4,6500,0,26000
105,37,686,4,440500,192200,1569800
106,37,1331,4,89600,0,358400
107,38,1570,2,9500,0,19000
108,38,850,3,11400,0,34200
109,38,1059,1,10500,1600,8900
110,39,727,3,4400,0,13200
111,39,1356,4,13700,0,54800
112,39,1136,4,32100,10600,117800
113,40,1993,2,15200,0,30400
114,40,736,4,551100,0,2204400
115,40,1512,1,770800,0,770800
116,41,558,3,31100,0,93300
117,41,190,3,17400,0,52200
118,41,633,2,46400,0,92800
119,42,1280,2,16900,3900,29900
120,42,1295,2,14600,0,29200
121,42,449,2,21400,0,42800
122,43,1610,2,24200,0,48400
123,43,129,1,46200,0,46200
124,43,1126,4,3100,0,12400
125,43,465,4,483200,0,1932800
126,43,176,1,8000,0,8000
127,44,1323,1,61600,0,61600
128,44,952,3,21500,0,64500
129,44,1141,2,29700,0,59400
130,44,1136,3,32600,0,97800
131,45,1052,1,43900,0,43900
132,45,1419,2,5200,600,9800
133,45,988,1,591000,0,591000
134,45,1692,2,517800,0,1035600
135,46,434,3,44500,21800,111700
136,46,1280,1,17700,0,17700
137,46,1795,3,17500,0,52500
138,47,1204,1,16300,0,16300
139,48,252,3,282700,0,848100
140,49,671,3,6800,0,20400
141,49,588,2,27400,0,54800
142,50,1285,4,597900,0,2391600
143,50,1737,3,15100,0,45300
144,51,892,4,477000,0,1908000
145,52,735,2,205700,66500,344900
146,52,126,1,213400,0,213400
147,53,1557,2,14600,0,29200
148,53,510,3,3200,1400,8200
149,54,1876,4,25600,11500,90900
150,55,1117,1,7400,800,6600
151,55,1349,4,681900,0,2727600
152,56,1018,3,23200,0,69600
153,57,339,2,100700,13700,187700
154,57,373,2,24500,0,49000
155,57,258,3,1321100,0,3963300
156,57,1016,3,12800,0,38400
157,57,1664,2,303800,87900,519700
158,58,1214,4,21100,0,84400
159,58,1742,1,314800,0,314800
160,59,950,3,21700,5100,60000
161,60,805,4,2400,0,9600
162,60,68,4,71100,28100,256300
163,60,839,3,7200,0,21600
164,61,985,1,28600,0,28600
165,62,186,4,17100,0,68400
166,62,1765,1,397300,0,397300
167,63,262,4,50100,0,200400
168,63,502,1,519100,0,519100
169,63,970,3,98500,0,295500
170,64,1480,4,20400,0,81600
171,64,1158,1,11300,0,11300
172,64,890,4,206100,0,824400
173,64,801,2,215100,0,430200
174,65,1138,3,40500,17300,104200
175,65,571,1,14000,0,14000
176,66,248,2,156600,0,313200
177,67,50,1,675000,0,675000
178,67,563,2,29100,0,58200
179,68,761,2,17000,0,34000
180,68,22,1,4400,400,4000
181,68,701,1,64900,0,64900
182,68,1160,1,1400,0,1400
183,68,1938,2,25800,0,51600
184,68,812,3,1139900,0,3419700
185,69,778,3,265200,0,795600
186,69,1142,2,20500,0,41000
187,69,1840,3,72600,0,217800
188,70,278,1,13900,1900,12000
189,70,914,1,9800,0,9800
190,71,617,3,926500,0,2779500
191,71,279,1,301400,0,301400
192,71,235,3,8000,0,24000
193,71,1863,1,3100,400,2700
194,71,1456,3,5200,0,15600
195,71,1689,3,44500,0,133500
196,72,1389,4,64500,0,258000
197,72,187,2,4800,0,9600
198,72,1175,1,556100,0,556100
199,73,68,3,68700,0,206100
200,73,1993,2,14100,0,28200
201,74,1162,4,2000,400,7600
202,74,161,3,609800,0,1829400
203,74,55,3,17700,9400,43700
204,75,330,3,7500,0,22500
205,75,1921,1,498700,0,498700
206,76,1809,1,578200,0,578200
207,76,1310,2,52300,0,104600
208,77,1385,1,264800,0,264800
209,77,351,1,102600,6200,96400
210,77,542,2,7100,1000,13200
211,78,1412,3,59000,18900,158100
212,78,1085,3,354200,66000,996600
213,79,860,4,17100,0,68400
214,80,1912,4,24100,0,96400
215,81,1668,1,52000,0,52000
216,81,782,1,3400,0,3400
217,81,1991,1,3500,0,3500
218,81,1952,2,31200,0,62400
219,82,856,4,58200,0,232800
220,82,1888,1,1300,0,1300
221,82,1908,3,50100,0,150300
222,83,1583,2,23300,0,46600
223,84,1568,1,35400,0,35400
224,85,744,3,46300,0,138900
225,85,543,4,11700,0,46800
226,85,1009,2,1400,0,2800
227,85,1542,4,534800,0,2139200
228,86,1651,1,318000,0,318000
229,87,1793,1,251400,0,251400
230,87,847,4,45100,0,180400
231,88,1219,2,7600,0,15200
