date,region,category,ad_spend,visits,sales
2024-07-01 18:20:00,Busan,fashion,19.0,49,114.0
2024-07-01 17:52:00,Busan,home,84.9,43,133.0
2024-07-01 14:21:00,Gwangju,home,12.1,50,71.0
2024-07-01 22:14:00,Daegu,home,56.3,52,323.0
2024-07-01 12:38:00,Busan,home,94.8,51,57.0
2024-07-01 13:27:00,Incheon,fashion,64.9,58,226.0
2024-07-01 12:03:00,Busan,tech,56.8,51,486.0
2024-07-01 18:33:00,Busan,tech,93.4,55,307.0
2024-07-01 16:39:00,Gwangju,home,77.3,51,484.0
2024-07-01 17:44:00,Seoul,food,82.2,56,52.0
2024-07-01 19:16:00,Daegu,fashion,79.4,37,102.0
2024-07-01 19:07:00,Incheon,tech,18.6,47,350.0
2024-07-01 17:21:00,Daegu,fashion,52.5,40,392.0
2024-07-01 16:13:00,Daegu,food,74.0,40,141.0
2024-07-01 20:48:00,Incheon,food,55.8,61,235.0
2024-07-01 18:35:00,Gwangju,home,63.9,54,331.0
2024-07-01 14:52:00,Incheon,home,29.7,48,196.0
2024-07-01 11:24:00,Seoul,food,30.5,48,437.0
2024-07-01 08:07:00,Daegu,food,53.6,54,160.0
2024-07-01 12:31:00,Seoul,home,42.7,44,185.0
2024-07-01 14:16:00,Daegu,food,97.9,48,205.0
2024-07-01 17:01:00,Gwangju,home,50.3,51,86.0
2024-07-01 15:16:00,Gwangju,home,98.5,48,409.0
2024-07-01 12:58:00,Gwangju,fashion,63.2,54,280.0
2024-07-01 13:31:00,Incheon,food,72.2,48,112.0
2024-07-01 14:24:00,Busan,fashion,58.7,54,129.0
2024-07-01 22:51:00,Incheon,food,31.8,39,455.0
2024-07-01 17:08:00,Seoul,fashion,73.0,58,232.0
2024-07-01 20:51:00,Daegu,food,24.5,61,54.0
2024-07-01 11:34:00,Seoul,food,35.6,46,252.0
2024-07-01 22:35:00,Seoul,home,31.4,46,342.0
2024-07-01 19:16:00,Seoul,home,18.4,47,160.0
2024-07-01 22:44:00,Daegu,tech,91.5,49,340.0
2024-07-01 17:32:00,Gwangju,home,75.0,45,340.0
2024-07-01 12:27:00,Gwangju,tech,92.3,47,468.0
2024-07-01 15:52:00,Daegu,home,86.8,45,433.0
2024-07-01 14:17:00,Seoul,tech,94.3,54,94.0
2024-07-01 17:21:00,Busan,fashion,56.6,60,364.0
2024-07-01 18:47:00,Gwangju,tech,82.8,62,276.0
2024-07-01 19:00:00,Incheon,fashion,40.4,47,310.0
2024-07-01 09:24:00,Busan,fashion,98.4,44,186.0
2024-07-01 16:36:00,Seoul,home,79.3,44,88.0
2024-07-01 10:51:00,Daegu,fashion,22.5,55,229.0
2024-07-01 15:57:00,Busan,food,26.6,38,360.0
2024-07-01 10:57:00,Seoul,fashion,32.5,51,347.0
2024-07-01 14:15:00,Gwangju,fashion,69.1,49,71.0
2024-07-01 16:50:00,Gwangju,tech,11.3,40,68.0
2024-07-02 16:25:00,Busan,home,82.6,47,342.0
2024-07-02 10:53:00,Gwangju,home,14.1,47,276.0
2024-07-02 19:04:00,Gwangju,home,65.4,59,410.0
2024-07-02 17:34:00,Incheon,food,51.2,51,224.0
2024-07-02 21:09:00,Daegu,home,34.7,43,68.0
2024-07-02 17:22:00,Seoul,tech,38.7,58,417.0
2024-07-02 14:03:00,Busan,food,41.4,64,238.0
2024-07-02 21:35:00,Busan,food,77.6,48,399.0
2024-07-02 14:31:00,Gwangju,home,48.6,55,96.0
2024-07-02 20:19:00,Seoul,tech,36.8,39,481.0
2024-07-02 19:08:00,Incheon,tech,70.9,50,87.0
2024-07-02 11:11:00,Seoul,home,70.5,56,405.0
2024-07-02 11:41:00,Busan,fashion,99.6,51,486.0
2024-07-02 17:57:00,Incheon,food,19.1,38,83.0
2024-07-02 19:57:00,Busan,food,56.2,44,438.0
2024-07-02 20:16:00,Seoul,food,77.8,47,400.0
2024-07-02 16:26:00,Busan,tech,39.7,49,232.0
2024-07-02 16:19:00,Incheon,home,20.6,53,313.0
2024-07-02 21:59:00,Seoul,food,88.2,37,486.0
2024-07-02 16:40:00,Seoul,tech,36.5,48,462.0
2024-07-02 21:15:00,Incheon,home,65.8,45,259.0
2024-07-02 14:49:00,Incheon,home,42.4,45,65.0
2024-07-02 14:52:00,Incheon,food,71.6,55,238.0
2024-07-02 21:49:00,Daegu,food,24.8,48,266.0
2024-07-02 22:10:00,Gwangju,tech,44.3,58,237.0
2024-07-02 14:47:00,Incheon,food,58.1,52,391.0
2024-07-02 15:20:00,Seoul,tech,32.6,45,445.0
2024-07-02 18:33:00,Incheon,fashion,20.2,54,398.0
2024-07-02 16:11:00,Seoul,tech,97.1,38,315.0
2024-07-02 16:22:00,Gwangju,food,67.5,52,300.0
2024-07-02 11:33:00,Incheon,food,56.3,56,330.0
2024-07-02 19:04:00,Gwangju,home,51.3,58,80.0
2024-07-02 10:05:00,Gwangju,tech,39.6,53,84.0
2024-07-02 11:54:00,Daegu,tech,72.8,42,235.0
2024-07-02 20:26:00,Gwangju,home,25.5,43,126.0
2024-07-02 14:21:00,Gwangju,tech,20.9,49,214.0
2024-07-02 16:44:00,Daegu,food,18.3,50,280.0
2024-07-02 12:47:00,Gwangju,food,34.9,57,133.0
2024-07-02 13:55:00,Busan,home,43.2,49,67.0
2024-07-02 13:06:00,Daegu,fashion,86.0,55,440.0
2024-07-02 14:50:00,Seoul,fashion,44.0,43,104.0
2024-07-02 20:19:00,Seoul,home,42.0,53,313.0
2024-07-02 18:46:00,Seoul,home,21.5,45,341.0
2024-07-02 16:55:00,Daegu,food,39.7,63,151.0
