arm,role,threshold,n,normal_denominator,smishing_denominator,tp,tn,fp,fn,recall,fpr,precision,f1,brier,fpr_quantization
rawK,meta_fit,0.8857495188713074,353,210,143,140,210,0,3,0.9790209790209791,0.0,1.0,0.989399293286219,0.008357024262517453,0.004761904761904762
rawK,calibration,0.8857495188713074,123,107,16,15,107,0,1,0.9375,0.0,1.0,0.967741935483871,0.008445642395202,0.009345794392523364
rawK,readout,0.8857495188713074,142,108,34,34,108,0,0,1.0,0.0,1.0,1.0,7.042193033345504e-07,0.009259259259259259
K,meta_fit,0.7855205743430773,353,210,143,140,210,0,3,0.9790209790209791,0.0,1.0,0.989399293286219,0.0073444235928493105,0.004761904761904762
K,calibration,0.7855205743430773,123,107,16,15,107,0,1,0.9375,0.0,1.0,0.967741935483871,0.009492885730264779,0.009345794392523364
K,readout,0.7855205743430773,142,108,34,34,108,0,0,1.0,0.0,1.0,1.0,0.0005736349267331021,0.009259259259259259
KJ,meta_fit,0.8015340995819955,353,210,143,140,210,0,3,0.9790209790209791,0.0,1.0,0.989399293286219,0.005001619820802276,0.004761904761904762
KJ,calibration,0.8015340995819955,123,107,16,15,107,0,1,0.9375,0.0,1.0,0.967741935483871,0.010499376946812551,0.009345794392523364
KJ,readout,0.8015340995819955,142,108,34,34,108,0,0,1.0,0.0,1.0,1.0,0.0014367032112566932,0.009259259259259259
KU,meta_fit,0.6612159865789777,353,210,143,140,210,0,3,0.9790209790209791,0.0,1.0,0.989399293286219,0.007425827073148862,0.004761904761904762
KU,calibration,0.6612159865789777,123,107,16,15,107,0,1,0.9375,0.0,1.0,0.967741935483871,0.012046170375318825,0.009345794392523364
KU,readout,0.6612159865789777,142,108,34,34,107,1,0,1.0,0.009259259259259259,0.9714285714285714,0.9855072463768115,0.004698730457150422,0.009259259259259259
KJU,meta_fit,0.5222122167557824,353,210,143,141,210,0,2,0.986013986013986,0.0,1.0,0.9929577464788732,0.004745547563581651,0.004761904761904762
KJU,calibration,0.5222122167557824,123,107,16,15,107,0,1,0.9375,0.0,1.0,0.967741935483871,0.016216192221519217,0.009345794392523364
KJU,readout,0.5222122167557824,142,108,34,34,108,0,0,1.0,0.0,1.0,1.0,0.0011350738564849373,0.009259259259259259
